team,institution_key,name,position,height,weight,stars,rating,status,from_school,to_school,profile_url
Air Force,24078,Jordan Shuler,LB,"6'2""",220 lbs,2,0.7900,N/A,Air Force,N/A,https://247sports.com/player/jordan-shuler-46116426/college-348647/
Air Force,24078,Trae Williams,CB,"5'10""",170 lbs,0,( N/A ),Committed,Air Force,Furman,https://247sports.com/player/trae-williams-46137057/college-350888/
Air Force,24078,Jeremiah Shelby,Edge,"6'3""",250 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/jeremiah-shelby-46141024/college-348556/
Air Force,24078,Dominic Diaz,LS,"6'0""",225 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/dominic-diaz-46134292/college-348557/
Akron,24065,Khory Moss,CB,"5'11""",190 lbs,3,0.8300,Enrolled,Miami (OH),Akron,https://247sports.com/player/khory-moss-46152016/college-332830/
Akron,24065,Dwight Nunoo,LB,"6'0""",221 lbs,3,0.8200,Enrolled,FIU,Akron,https://247sports.com/player/dwight-nunoo-46114271/college-319050/
Akron,24065,Reese Poffenbarger,QB,"6'0""",210 lbs,3,0.8100,Enrolled,North Texas,Akron,https://247sports.com/player/reese-poffenbarger-46084447/college-328717/
Akron,24065,Nate Hampton,IOL,"6'2""",295 lbs,0,( N/A ),Enrolled,Saint Francis (PA),Akron,https://247sports.com/player/nate-hampton-46164015/college-350318/
Akron,24065,Titus Myers,WR,"6'2""",175 lbs,3,0.8300,Enrolled,Old Dominion,Akron,https://247sports.com/player/titus-myers-46152569/college-332146/
Akron,24065,Shamar McNeil,CB,"6'3""",180 lbs,3,0.8500,Enrolled,Missouri,Akron,https://247sports.com/player/shamar-mcneil-46130932/college-301217/
Akron,24065,Caiden Newsome,CB,"5'10""",175 lbs,0,( N/A ),Enrolled,Holy Cross,Akron,https://247sports.com/player/caiden-newsome-46164018/college-350326/
Akron,24065,Zach Hobson,CB,"6'3""",193 lbs,0,( N/A ),Enrolled,Old Dominion,Akron,https://247sports.com/player/zach-hobson-46158829/college-341970/
Akron,24065,Wyatt Hook,TE,"6'6""",258 lbs,3,0.8400,Enrolled,Michigan State,Akron,https://247sports.com/player/wyatt-hook-46134462/college-318453/
Akron,24065,Brandon Smith,IOL,"6'1""",295 lbs,0,( N/A ),Enrolled,South Dakota,Akron,https://247sports.com/player/brandon-smith-46135064/college-348416/
Akron,24065,Carlos Slayden,IOL,"6'3""",300 lbs,0,( N/A ),Enrolled,Southern Miss,Akron,https://247sports.com/player/carlos-slayden-46157854/college-342055/
Akron,24065,Miles Burris,WR,"6'2""",200 lbs,3,0.8400,Enrolled,Charlotte,Akron,https://247sports.com/player/miles-burris-46136708/college-309650/
