RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'YDS')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Unnamed: 11_level_0', 'FF')"
1,Shaun Dolac,BUFF,LB,81,87,168,6.0,30,5,5,177,70,1,0
2,Red Murdock,BUFF,LB,73,83,156,2.0,11,1,1,31,31,1,7
3,Carson Schwesinger,UCLA,LB,90,46,136,4.0,35,3,2,13,13,0,1
4,Jackson Woodard,UNLV,LB,69,66,135,3.5,28,12,4,48,26,0,0
5,Colin Ramos,NAVY,LB,58,71,129,3.0,19,2,0,0,0,0,1
5,Travion Barnes,FIU,LB,59,70,129,3.0,14,0,2,85,85,1,0
7,Jacob Rodriguez,TTU,LB,78,49,127,5.0,42,4,1,9,9,0,3
7,Isaac Smith,MSST,S,46,81,127,0.0,0,3,0,0,0,0,1
9,Jayden McDonald,CONN,LB,51,74,125,3.5,37,3,1,12,12,0,0
10,Jay Higgins IV,IOWA,LB,53,71,124,1.0,5,5,4,15,10,0,2
10,Stone Blanton,MSST,LB,29,95,124,0.5,0,3,0,0,0,0,2
12,Matt Salopek,M-OH,LB,54,68,122,1.0,7,3,3,1,1,0,2
12,Nick Andersen,WAKE,DB,56,66,122,0.0,0,1,2,30,30,0,1
14,Marques Watson-Trent,GASO,LB,52,68,120,1.5,15,1,0,0,0,0,4
14,Whit Weeks,LSU,LB,61,59,120,3.5,22,4,1,5,5,0,2
14,Bryan McCoy Jr.,AKR,LB,54,66,120,0.0,0,2,0,0,0,0,0
17,Jihaad Campbell,ALA,LB,55,64,119,5.0,44,2,1,24,24,0,2
18,Aiden Fisher,IU,LB,49,69,118,1.5,5,4,0,0,0,0,0
19,Kobe Wilson,SMU,LB,54,63,117,3.0,17,2,2,116,82,1,1
19,Jordan Vincent,USU,S,63,54,117,0.0,0,2,4,39,15,0,0
21,Donovan McMillon,PITT,S,55,60,115,0.0,0,7,1,7,7,0,1
21,K.C. Ossai,UL,LB,58,57,115,0.5,2,3,1,3,3,0,1
21,Jordan Pollard,SJSU,LB,59,56,115,2.0,13,3,1,0,0,0,0
21,Jaden Yates,MRSH,LB,33,82,115,0.5,3,2,0,0,0,0,0
25,Teddye Buchanan,CAL,LB,45,69,114,5.0,33,4,0,0,0,0,2
26,Anthony Hill Jr.,TEX,LB,59,54,113,8.0,44,1,1,32,32,0,4
27,Cody Simon,OSU,LB,51,61,112,7.0,57,7,0,0,0,0,1
28,Chandler Martin,MEM,LB,59,52,111,7.0,46,4,1,0,0,0,1
28,Tyquan King,TEM,LB,54,57,111,3.0,17,0,0,0,0,0,1
30,Danny Stutsman,OU,LB,44,66,110,1.0,4,0,0,0,0,0,0
31,Tuasivi Nomura,FRES,LB,68,41,109,0.0,0,3,0,0,0,0,0
31,Donald Willis,WMU,LB,62,47,109,1.0,8,4,0,0,0,0,1
31,Antonio Carter,JVST,S,55,54,109,1.0,10,3,1,6,6,0,0
31,Fred Perry,JVST,S,46,63,109,3.0,36,2,0,0,0,0,2
35,Maxen Hook,TOL,S,62,46,108,0.0,0,4,2,23,18,0,1
36,Jaylen Smith,UNT,LB,44,62,106,0.0,0,2,1,6,6,0,0
36,Keaton Thomas,BAY,LB,62,44,106,2.5,12,0,1,37,35,1,0
38,Omar Rogers,ECU,DB,43,62,105,1.0,5,2,1,9,9,0,0
38,Dariel Djabome,RUTG,LB,49,56,105,3.5,33,1,0,0,0,0,2
40,Carson Bruener,WASH,LB,60,44,104,0.0,0,5,3,55,31,0,1
40,Matt Jones,BAY,LB,64,40,104,4.0,26,6,0,0,0,0,1
40,Dillon Thieneman,PUR,DB,70,34,104,1.0,2,6,0,0,0,0,0
43,D.J. Woodbury Sr.,TEM,LB,66,37,103,2.0,22,0,1,42,42,0,0
44,Anthony Wilson Jr.,WVU,S,52,50,102,0.0,0,3,2,79,79,1,0
45,Blayne Myrick,USA,LB,45,56,101,2.0,13,2,1,33,33,1,1
46,Isaiah Nwokobia,SMU,S,53,47,100,0.5,5,3,3,13,13,0,0
46,Kyle Louis,PITT,LB,45,55,100,7.0,40,3,4,68,59,1,1
46,Kyle Jacob,NAVY,LB,52,48,100,1.0,7,2,3,38,27,0,1
46,Ozzie Nicholas,DUKE,LB,40,60,100,0.5,1,2,1,29,29,0,2
46,Sonny Styles,OSU,LB,49,51,100,6.0,50,5,0,0,0,0,1
46,Buom Jock,CSU,LB,40,60,100,0.0,0,3,1,10,10,0,1
46,Wydett Williams Jr.,ULM,S,55,45,100,1.0,7,4,3,14,11,0,1
53,Xavian Sorey Jr.,ARK,LB,41,58,99,2.0,12,1,1,3,3,0,0
53,Christian Ellis,UNM,S,42,57,99,0.0,0,4,1,0,0,0,0
53,Devonte' Mathews,WKU,DB,55,44,99,0.0,0,0,2,0,0,0,1
56,Marvin Ham,ARST,LB,51,47,98,1.5,13,1,0,0,0,0,1
56,Jaylen Reed,PSU,S,51,47,98,2.5,29,3,3,50,22,1,1
56,Chase Wilson,CSU,LB,39,59,98,0.0,0,2,2,0,0,0,0
56,Jonas Sanker,UVA,S,66,32,98,2.0,6,4,1,45,45,0,0
56,Myles Rowser,ASU,DB,51,47,98,1.0,11,4,0,0,0,0,0
56,James Djonkam,EMU,DL,34,64,98,3.0,22,3,0,0,0,0,1
62,Kobe King,PSU,LB,53,44,97,3.0,11,1,0,0,0,0,1
62,Caleb Weaver,SHSU,S,69,28,97,0.0,0,6,4,52,28,0,1
64,Daniel Bolden,TOL,LB,49,47,96,2.5,21,0,0,0,0,0,0
64,Jalen Catalon,UNLV,S,61,35,96,2.0,15,4,5,95,46,1,1
64,Justin Parks,ARST,S,56,40,96,0.0,0,3,2,6,6,0,2
64,Sean Brown,NCSU,LB,50,46,96,3.0,20,1,0,0,0,0,2
64,Kiko Mauigoa,MIA,LB,51,45,96,2.0,16,5,1,2,2,0,1
64,Jordan Kwiatkowski,CMU,LB,48,48,96,0.0,0,1,1,7,7,0,0
64,Austin Romaine,KSU,LB,54,42,96,2.0,18,2,0,0,0,0,3
71,Zakee Wheatley,PSU,S,57,38,95,1.0,4,4,3,28,28,0,1
71,Silas Walters,M-OH,DB,43,52,95,0.0,0,12,0,0,0,0,0
73,JJ Roberts,MRSH,DB,50,44,94,1.0,2,12,0,0,0,0,1
73,Elijah Anderson-Taylor,FIU,LB,41,53,94,0.5,1,1,0,0,0,0,0
73,Branson Combs,WAKE,LB,54,40,94,2.0,10,1,1,0,0,0,1
73,Luke Murphy,EMU,LB,38,56,94,0.0,0,0,1,0,0,0,0
73,Dalton Johnson,ARIZ,DB,47,47,94,0.0,0,2,0,0,0,0,2
73,Cody Lindenberg,MINN,LB,45,49,94,1.0,13,6,1,0,0,0,0
73,Michael Batton,HOU,LB,44,50,94,3.0,15,0,1,0,0,0,0
73,Blake Leake,OHIO,LB,35,59,94,0.5,3,3,1,8,8,0,1
73,Easton Mascarenas-Arnold,USC,LB,51,43,94,3.0,14,1,2,5,5,0,0
