RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Field Goals', 'FGM')","('Field Goals', 'FGA')","('Field Goals', 'FG%')","('Field Goals', 'LNG')","('Field Goals', '1-19')","('Field Goals', '20-29')","('Field Goals', '30-39')","('Field Goals', '40-49')","('Field Goals', '50+')","('Extra points', 'XPM')","('Extra points', 'XPA')","('Extra points', 'PCT')"
1,Alex Kessman,PITT,PK,23,29,79.3,58,1-1,8-8,5-6,5-9,4-5,31,32,96.9
2,Brian Johnson,VT,PK,20,26,76.9,55,1-1,4-4,4-5,8-9,3-7,34,34,100.0
2,Jose Borregales,MIAMI,PK,20,22,90.9,57,0-0,5-5,6-6,7-9,2-2,37,37,100.0
2,Anders Carlson,AUB,PK,20,22,90.9,50,0-0,8-8,5-6,5-5,2-3,24,25,96.0
2,Gabe Brkic,OU,PK,20,26,76.9,54,2-2,5-5,5-7,4-6,4-6,49,49,100.0
6,B.T. Potter,CLEM,PK,18,23,78.3,52,0-0,5-5,5-8,6-7,2-3,61,62,98.4
6,Cade York,LSU,PK,18,21,85.7,57,0-0,4-4,5-6,3-4,6-7,36,36,100.0
6,Alex Raynor,GASO,PK,18,25,72.0,47,0-0,7-8,8-9,3-7,0-1,40,41,97.6
9,Hunter Duplessis,UTSA,PK,17,20,85.0,50,0-0,7-7,5-5,4-6,1-2,40,41,97.6
9,Chris Naggar,SMU,PK,17,21,81.0,48,0-0,6-6,6-6,5-7,0-2,43,46,93.5
9,Evan McPherson,FLA,PK,17,22,77.3,55,0-0,4-4,7-7,2-4,4-7,52,52,100.0
9,Harrison Mevis,MIZ,PK,17,20,85.0,52,1-1,7-7,4-5,2-3,3-4,28,28,100.0
13,Aaron Boumerhi,BC,PK,16,20,80.0,41,0-0,6-6,8-9,2-3,0-2,30,30,100.0
14,Riley Patterson,MEM,PK,15,22,68.2,56,0-0,4-4,3-3,5-7,3-8,36,37,97.3
14,Jonathan Doerer,ND,PK,15,23,65.2,51,0-0,6-7,5-7,3-5,1-4,48,48,100.0
14,Cameron Dicker,TEX,PK,15,21,71.4,53,0-0,6-6,4-6,4-7,1-2,50,51,98.0
14,Brandon Talton,NEV,PK,15,18,83.3,49,0-0,6-7,6-7,3-3,0-1,28,31,90.3
18,Keith Duncan,IOWA,PK,14,18,77.8,48,0-0,4-4,5-6,5-5,0-3,26,26,100.0
18,Jake Verity,ECU,PK,14,21,66.7,48,0-0,4-5,5-8,5-7,0-1,30,31,96.8
18,Nick Sciba,WAKE,PK,14,17,82.4,46,0-0,2-3,5-6,7-8,0-0,31,31,100.0
18,Will Reichard,ALA,PK,14,14,100.0,52,0-0,5-5,5-5,3-3,1-1,84,84,100.0
22,Connor Culp,NEB,PK,13,15,86.7,49,0-0,4-4,8-10,1-1,0-0,20,20,100.0
22,Alex Barbir,LIB,PK,13,20,65.0,54,0-0,6-6,3-6,2-6,2-2,50,52,96.2
22,Jake Oldroyd,BYU,PK,13,13,100.0,54,0-0,5-5,1-1,4-4,3-3,60,62,96.8
22,Chandler Staton,APP,PK,13,19,68.4,45,0-0,1-2,8-11,4-5,0-1,51,52,98.1
22,Connor Assalley,ISU,PK,13,19,68.4,42,0-0,5-6,6-7,2-6,0-0,48,50,96.0
22,Evan Legassey,TROY,PK,13,21,61.9,47,0-0,5-8,3-5,5-6,0-2,34,35,97.1
22,Noel Ruiz,GAST,PK,13,16,81.3,46,0-0,6-6,5-5,2-4,0-1,33,35,94.3
22,Brayden Narveson,WKU,PK,13,14,92.9,53,0-0,1-1,5-5,6-6,1-2,27,27,100.0
22,Alex Hale,OKST,PK,13,14,92.9,44,1-1,4-4,5-6,3-3,0-0,18,18,100.0
22,Jack Podlesny,UGA,PK,13,16,81.3,53,0-0,2-2,6-7,2-4,3-3,38,38,100.0
22,Diego Guajardo,USA,PK,13,17,76.5,54,0-0,3-3,5-5,3-7,2-2,24,25,96.0
22,Charlie Ham,DUKE,PK,13,15,86.7,47,0-0,5-5,5-6,3-4,0-0,30,32,93.8
22,James Turner,LOU,PK,13,15,86.7,50,0-0,3-3,4-4,5-5,1-3,40,40,100.0
22,John Hoyland,WYO,PK,13,14,92.9,42,0-0,5-5,6-7,2-2,0-0,16,16,100.0
36,Blake Lynch,KSU,PK,12,17,70.6,53,0-0,6-6,3-3,1-4,2-4,30,30,100.0
36,Briggs Bourgeois,USM,PK,12,16,75.0,49,0-0,4-5,5-7,3-4,0-0,29,29,100.0
36,Grayson Atkins,UNC,PK,12,18,66.7,51,0-0,4-5,5-6,2-4,1-3,63,63,100.0
36,Matt Ruffolo,UK,PK,12,14,85.7,50,0-0,6-6,4-4,1-3,1-1,22,23,95.7
36,Christopher Dunn,NCST,PK,12,17,70.6,53,0-0,1-1,7-9,2-4,2-3,43,43,100.0
36,Daniel Obarski,UCF,PK,12,17,70.6,38,0-0,6-8,6-7,0-2,0-0,46,49,93.9
36,Zack Long,TLSA,PK,12,15,80.0,48,0-0,5-5,5-7,2-3,0-0,25,26,96.2
36,Jacob Barnes,LT,PK,12,14,85.7,51,0-0,5-5,4-4,2-4,1-1,33,33,100.0
36,Griffin Kell,TCU,PK,12,17,70.6,49,0-0,3-3,7-8,2-6,0-0,36,37,97.3
45,Parker White,SC,PK,11,19,57.9,48,0-0,0-0,3-5,8-10,0-4,26,27,96.3
45,Blake Grupe,ARST,PK,11,18,61.1,42,0-0,2-5,5-6,4-7,0-0,43,45,95.6
45,Massimo Biscardi,CCU,PK,11,13,84.6,51,0-0,5-5,2-2,3-5,1-1,48,52,92.3
45,Chad Ryland,EMU,PK,11,13,84.6,52,0-0,5-5,4-4,1-1,1-3,18,19,94.7
45,Seth Small,TA&M,PK,11,13,84.6,41,1-1,7-8,1-2,2-2,0-0,41,42,97.6
45,Matt Quinn,UAB,PK,11,12,91.7,48,0-0,2-2,4-5,5-5,0-0,31,32,96.9
51,Brian Delaney,UVA,PK,10,13,76.9,42,0-0,5-5,4-7,1-1,0-0,35,36,97.2
51,Brandon Ruiz,MSST,PK,10,12,83.3,43,0-0,4-4,2-2,4-5,0-1,24,24,100.0
51,Matt Araiza,SDSU,P,10,14,71.4,48,0-0,5-5,3-4,2-4,0-1,23,24,95.8
51,Charles Campbell,IU,PK,10,11,90.9,53,0-0,2-2,3-3,2-3,3-3,25,25,100.0
51,John Mayers,BAY,PK,10,15,66.7,48,0-0,5-5,2-2,3-8,0-0,22,22,100.0
56,Collin Riccitelli,RICE,PK,9,12,75.0,45,0-0,1-2,3-3,5-7,0-0,10,11,90.9
56,Matt Coghlin,MSU,PK,9,12,75.0,51,0-0,3-3,1-1,4-7,1-1,13,13,100.0
56,Charlie Kuhbander,NW,PK,9,12,75.0,47,0-0,1-1,2-2,6-9,0-0,27,27,100.0
56,Merek Glover,TULN,PK,9,15,60.0,42,0-0,3-4,3-4,3-5,0-2,51,52,98.1
56,Andre Szmyt,SYR,PK,9,11,81.8,48,0-0,3-4,2-2,4-4,0-1,23,24,95.8
56,Jake Pinegar,PSU,PK,9,13,69.2,40,0-0,4-5,4-5,1-3,0-0,27,28,96.4
56,Matthew Mercurio,SJSU,PK,9,11,81.8,36,0-0,4-4,5-6,0-1,0-0,26,26,100.0
56,Parker Lewis,USC,PK,9,13,69.2,48,0-0,3-4,2-3,4-6,0-0,23,23,100.0
56,Valentino Ambrosio,RUTG,PK,9,11,81.8,42,0-0,3-3,3-4,3-4,0-0,15,16,93.8
65,Dalton Witherspoon,HOU,PK,8,10,80.0,53,0-0,4-4,1-2,2-3,1-1,20,20,100.0
65,Vladimir Rivas,FAU,PK,8,10,80.0,43,0-0,3-3,1-1,4-6,0-0,20,21,95.2
65,Matthew Shipley,HAW,PK,8,14,57.1,44,0-0,4-4,2-3,2-7,0-0,26,26,100.0
65,Jonathan Garibay,TTU,PK,8,11,72.7,48,0-0,3-3,1-1,4-7,0-0,6,7,85.7
65,Jadon Redding,UTAH,PK,8,8,100.0,44,0-0,2-2,3-3,3-3,0-0,17,17,100.0
65,Seth Keller,TXST,PK,8,9,88.9,48,0-0,1-1,2-3,5-5,0-0,32,33,97.0
65,Jack Knight,BALL,PK,8,12,66.7,47,0-0,1-1,5-7,2-3,0-1,20,22,90.9
65,Marshall Meeder,CMU,PK,8,8,100.0,53,0-0,4-4,0-0,2-2,2-2,16,17,94.1
73,A.J. Reed,ARK,PK,7,11,63.6,48,0-0,4-5,2-2,1-4,0-0,27,29,93.1
73,Crews Holt,MTSU,PK,7,13,53.8,49,0-0,3-3,0-2,4-5,0-3,23,23,100.0
73,Jet Toner,STAN,PK,7,11,63.6,48,0-0,2-3,2-3,3-5,0-0,17,18,94.4
73,J.D. Dellinger,PUR,PK,7,9,77.8,45,0-0,3-4,3-4,1-1,0-0,20,20,100.0
73,Cole Smith,CIN,PK,7,10,70.0,47,0-0,3-3,3-6,1-1,0-0,48,50,96.0
73,Ethan Mooney,UNT,PK,7,14,50.0,49,0-0,3-3,1-3,3-7,0-1,38,38,100.0
73,Shane Ciucci,MRSH,PK,7,10,70.0,43,0-0,5-5,1-2,1-3,0-0,36,36,100.0
73,John Richardson,NIU,PK,7,9,77.8,46,0-0,1-1,1-1,5-7,0-0,14,14,100.0
73,Jonah Dalmas,BSU,PK,7,8,87.5,51,0-0,0-0,4-4,1-2,2-2,30,31,96.8
82,James McCourt,ILL,PK,6,10,60.0,47,0-0,4-4,1-2,1-2,0-2,15,15,100.0
82,Evan Staley,WVU,PK,6,9,66.7,45,1-1,1-2,2-2,2-3,0-1,19,19,100.0
82,Luke Logan,MISS,PK,6,10,60.0,39,0-0,5-5,1-2,0-3,0-0,45,48,93.8
82,Peyton Henry,WASH,PK,6,9,66.7,45,0-0,5-6,0-0,1-3,0-0,13,14,92.9
82,Lucas Havrisik,ARIZ,PK,6,7,85.7,51,0-0,2-2,2-2,1-2,1-1,9,10,90.0
82,Evan Price,COLO,PK,6,8,75.0,45,1-1,0-0,2-3,3-4,0-0,16,16,100.0
82,Jacob Borcila,KU,PK,6,9,66.7,48,0-0,1-1,1-2,4-5,0-1,10,10,100.0
82,Bijan Nichols,NAVY,PK,6,10,60.0,50,0-0,0-0,3-4,2-4,1-2,16,18,88.9
82,Nick Barr-Mira,UCLA,PK,6,7,85.7,44,0-0,0-0,4-5,2-2,0-0,30,31,96.8
82,George Steinkamp,UNM,PK,6,11,54.5,49,0-0,3-3,0-1,3-5,0-2,8,8,100.0
92,Nate Snyder,UL,PK,5,10,50.0,53,0-0,2-3,1-4,1-2,1-1,21,23,91.3
92,Blake Haubeil,OSU,PK,5,7,71.4,43,0-0,2-3,1-1,2-3,0-0,24,24,100.0
92,Collin Larsh,WISC,PK,5,7,71.4,31,1-1,2-2,2-2,0-2,0-0,23,23,100.0
92,Brent Cimaglia,TENN,PK,5,9,55.6,50,0-0,1-1,1-3,2-3,1-2,19,20,95.0
92,Jared Sackett,USF,PK,5,7,71.4,39,0-0,2-2,3-4,0-1,0-0,10,10,100.0
92,Daniel Gutierrez,UNLV,PK,5,6,83.3,36,0-0,3-3,2-2,0-1,0-0,11,12,91.7
92,Gavin Baechle,UTEP,PK,5,9,55.6,47,0-0,3-4,0-1,2-3,0-1,23,23,100.0
92,Nate Needham,BGSU,PK,5,7,71.4,40,0-0,3-3,1-3,1-1,0-0,6,6,100.0
92,Casey Legg,WVU,PK,5,7,71.4,45,0-0,2-2,1-1,2-4,0-0,9,9,100.0
92,Kenneth Almendares,UL,PK,5,5,100.0,43,0-0,2-2,2-2,1-1,0-0,23,23,100.0
92,Thomas Cluckey,TOL,PK,5,5,100.0,37,1-1,3-3,1-1,0-0,0-0,11,12,91.7
92,Tevye Schuettpelz-Rohl,AFA,PK,5,9,55.6,48,0-0,0-0,3-6,2-3,0-0,15,15,100.0
92,Cesar Silva,FRES,PK,5,5,100.0,35,0-0,2-2,3-3,0-0,0-0,15,17,88.2
92,Everett Hayes,ORST,PK,5,7,71.4,48,0-0,1-1,3-3,1-2,0-1,19,19,100.0
92,Brady Pohl,OKST,PK,5,9,55.6,38,0-0,2-2,3-6,0-1,0-0,17,19,89.5
92,Rory Bell,TEM,PK,5,5,100.0,30,0-0,4-4,1-1,0-0,0-0,3,4,75.0
108,Blake Mazza,SMU,PK,4,4,100.0,49,0-0,1-1,2-2,1-1,0-0,12,13,92.3
108,Parker Grothaus,FSU,PK,4,7,57.1,53,0-0,0-0,1-2,2-3,1-2,14,14,100.0
108,Will Mobley,TEM,PK,4,6,66.7,26,0-0,4-5,0-1,0-0,0-0,7,8,87.5
108,Cory Smigel,AKR,PK,4,6,66.7,41,0-0,1-1,2-3,1-1,0-1,13,13,100.0
108,Matthew Trickett,KENT,PK,4,6,66.7,39,0-0,2-2,2-2,0-2,0-0,22,22,100.0
108,Joseph Petrino,MD,PK,4,7,57.1,51,0-0,0-1,3-3,0-0,1-3,14,14,100.0
108,Pierson Cooke,VAN,PK,4,9,44.4,41,0-0,1-3,2-2,1-2,0-2,9,9,100.0
108,Dario Longhetto,CAL,PK,4,5,80.0,52,0-0,2-2,1-2,0-0,1-1,9,10,90.0
108,Jonathan Cruz,CLT,PK,4,7,57.1,49,0-0,1-1,1-1,2-5,0-0,18,18,100.0
108,Ryan Fitzgerald,FSU,PK,4,7,57.1,42,0-0,3-3,0-2,1-2,0-0,12,13,92.3
108,Henry Katleman,ORE,PK,4,4,100.0,47,0-0,1-1,1-1,2-2,0-0,13,13,100.0
108,Thiago Kapps,WMU,PK,4,7,57.1,50,0-0,1-2,1-2,1-2,1-1,23,26,88.5
108,Spencer Shrader,USF,PK,4,6,66.7,49,0-0,0-0,0-0,4-6,0-0,11,12,91.7
108,Quinn Maretzki,ARMY,PK,4,6,66.7,40,0-0,1-1,1-3,2-2,0-0,15,15,100.0
108,Robert Liss,CSU,PK,4,7,57.1,48,0-0,2-3,0-0,2-4,0-0,11,11,100.0
123,Tyler Sumpter,WVU,PK,3,4,75.0,36,0-0,0-0,3-4,0-0,0-0,1,1,100.0
123,Landon Salyers,ARMY,PK,3,4,75.0,43,0-0,0-0,1-2,2-2,0-0,23,26,88.5
123,Connor Coles,USU,PK,3,3,100.0,44,0-0,1-1,1-1,1-1,0-0,8,9,88.9
123,Donovan Murphree,UNM,P,3,3,100.0,40,0-0,0-0,2-2,1-1,0-0,12,12,100.0
123,Henry Beckett,M-OH,PK,3,4,75.0,42,0-0,1-1,1-1,1-2,0-0,11,11,100.0
123,Chase Gabriel,FIU,PK,3,4,75.0,41,0-0,1-1,1-1,1-2,0-0,11,12,91.7
129,Quinn Nordin,MICH,PK,2,5,40.0,46,0-0,1-1,0-1,1-2,0-1,12,12,100.0
129,Christian Zendejas,ASU,PK,2,4,50.0,41,0-0,0-0,1-1,1-3,0-0,9,9,100.0
129,Chris Howard,FLA,PK,2,2,100.0,32,0-0,1-1,1-1,0-0,0-0,7,7,100.0
129,Jordan Stout,PSU,P,2,5,40.0,50,0-0,0-0,0-0,1-2,1-3,0,0,0.0
129,Danny Longman,BC,PK,2,2,100.0,29,0-0,2-2,0-0,0-0,0-0,2,3,66.7
129,Stephen Johnson,OU,PK,2,2,100.0,42,0-0,1-1,0-0,1-1,0-0,8,8,100.0
129,Brock Walker,MINN,PK,2,3,66.7,29,0-0,2-2,0-1,0-0,0-0,12,14,85.7
129,Anders Gelecinskyj,MINN,PK,2,3,66.7,38,0-0,0-0,2-3,0-0,0-0,5,5,100.0
129,Tristian Vandenberg,OHIO,PK,2,6,33.3,44,0-0,0-2,1-1,1-3,0-0,12,13,92.3
129,Evan Davis,TOL,PK,2,5,40.0,39,0-0,0-0,2-4,0-1,0-0,11,11,100.0
129,Guy Fava,RUTG,PK,2,2,100.0,44,0-0,0-0,1-1,1-1,0-0,6,6,100.0
129,Davis Hughes,ULM,PK,2,5,40.0,34,0-0,1-2,1-3,0-0,0-0,13,16,81.3
129,Gavin Stewart,GT,PK,2,3,66.7,26,0-0,2-3,0-0,0-0,0-0,22,24,91.7
129,Jacob Lewis,BALL,PK,2,3,66.7,51,0-0,1-2,0-0,0-0,1-1,8,9,88.9
143,Asa Fuller,FRES,PK,1,1,100.0,30,0-0,0-0,1-1,0-0,0-0,4,4,100.0
143,Zach Williams,UNT,PK,1,1,100.0,30,0-0,0-0,1-1,0-0,0-0,6,7,85.7
143,Dominic DiMaccio,OSU,PK,1,2,50.0,22,0-0,1-2,0-0,0-0,0-0,3,3,100.0
143,Trey Wolff,TTU,PK,1,5,20.0,40,0-0,0-0,0-3,1-2,0-0,26,27,96.3
143,Gavin Peddie,WMU,PK,1,2,50.0,24,0-0,1-1,0-0,0-1,0-0,8,8,100.0
143,Chance Poore,UK,PK,1,1,100.0,28,0-0,1-1,0-0,0-0,0-0,5,5,100.0
143,Caleb Griffin,ILL,PK,1,1,100.0,28,0-0,1-1,0-0,0-0,0-0,5,5,100.0
143,Jake Moody,MICH,PK,1,4,25.0,40,0-0,0-0,0-2,1-2,0-0,9,9,100.0
143,Alex McNulty,BUFF,PK,1,4,25.0,25,0-0,1-2,0-1,0-1,0-0,42,42,100.0
143,Matthew Phillips,ARK,PK,1,1,100.0,26,0-0,1-1,0-0,0-0,0-0,0,0,0.0
143,Camden Lewis,ORE,PK,1,4,25.0,23,0-0,1-1,0-2,0-1,0-0,15,15,100.0
143,Alan Orona,TXST,PK,1,3,33.3,47,0-0,0-1,0-1,1-1,0-0,9,10,90.0
143,Jake Seibert,OSU,PK,1,2,50.0,23,0-0,1-1,0-0,0-1,0-0,16,16,100.0
143,Michael Hayes II,GAST,PK,1,1,100.0,23,0-0,1-1,0-0,0-0,0-0,4,4,100.0
143,Jack Luckhurst,ASU,PK,1,1,100.0,49,0-0,0-0,0-0,1-1,0-0,9,9,100.0
143,Jeremy Martin,MASS,PK,1,2,50.0,46,0-0,0-0,0-0,1-2,0-0,1,1,100.0
143,Jude Kelley,GT,PK,1,5,20.0,32,0-0,0-2,1-2,0-1,0-0,4,5,80.0
160,Dawson Goepferich,ND/BRWN,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,2,2,100.0
160,Caleb Shudak,IOWA,PK,0,1,0.0,0,0-0,0-0,0-0,0-0,0-1,0,0,0.0
160,Jace Christmann,MSST,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,5,5,100.0
160,Jack Crane,WAKE,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,7,7,100.0
160,Noah Ruggles,UNC,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,1,100.0
160,James Stefanou,COLO,PK,0,2,0.0,0,0-0,0-0,0-0,0-1,0-1,5,5,100.0
160,Zach Elder,ULM/PV,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,2,4,50.0
160,Sarah Fuller,VAN,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,2,2,100.0
160,Andrew Shelley,UNM,PK,0,1,0.0,0,0-0,0-0,0-0,0-1,0-0,0,0,0.0
160,D.J. Wellons,TOL,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,1,100.0
160,Camden Price,MIAMI,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,1,100.0
160,Noah Rauschenberg,BAY,PK,0,1,0.0,0,0-0,0-0,0-0,0-0,0-1,0,0,0.0
160,Aidan Swanson,CLEM,P,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,2,2,100.0
160,Kieran Colahan,CCU,P,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,1,100.0
160,Michael Lantz,MINN,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,6,7,85.7
160,Jason Stricker,LIB,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,2,50.0
160,Mac Dalena,FRES,WR,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,2,4,50.0
160,Ben Sauls,PITT,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,1,100.0
160,Kyle Ramsey,HOU,PK,0,1,0.0,0,0-0,0-0,0-0,0-1,0-0,8,8,100.0
160,Jonathan Weitz,CLEM,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,1,100.0
160,Trey Finison,NW,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,0,1,0.0
160,Toby Wilson,TENN,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,7,8,87.5
160,Kenny Scribner,USF,P,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,2,2,100.0
160,Cameron Carson,MASS/ME,PK,0,1,0.0,0,0-0,0-0,0-1,0-0,0-0,0,0,0.0
160,Jackson Baltar,BUFF,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,1,100.0
160,Ben Freehill,OKST,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,2,50.0
160,Nels Haltom,UTAH/USU,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,2,3,66.7
160,Casey Griffith,MISS,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,1,100.0
160,Wes Farley,VAN,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,6,6,100.0
160,Tyler Tipton,TLSA,PK,0,1,0.0,0,0-0,0-1,0-0,0-0,0-0,1,1,100.0
160,Justen Smith,BYU,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,3,4,75.0
160,Jack Van Dyke,WISC,PK,0,1,0.0,0,0-0,0-0,0-0,0-1,0-0,0,0,0.0
160,Anthony Rodriguez,AFA,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,2,2,100.0
160,Seth Phillis,KENT,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,3,4,75.0
160,Jonah Fortkamp,OHIO,PK,0,0,0.0,0,0-0,0-0,0-0,0-0,0-0,1,1,100.0
