RK,NAME,TEAM,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
1,Austin Reed,WKU,389,602,64.6,4744,7.9,76,40,11,11,149.1
2,Michael Penix Jr.,WASH,362,554,65.3,4641,8.4,84,31,8,5,151.3
3,Caleb Williams,USC,333,500,66.6,4537,9.1,75,42,5,30,168.5
4,Drake Maye,UNC,342,517,66.2,4321,8.4,80,38,7,40,157.9
5,Kyle Vantrease,GASO,371,604,61.4,4253,7.0,79,27,16,6,130.0
6,Stetson Bennett IV,UGA,310,454,68.3,4127,9.1,83,27,7,9,161.2
7,Clayton Tune,HOU,334,496,67.3,4074,8.2,63,40,10,23,158.9
8,Frank Harris,UTSA,328,471,69.6,4059,8.6,70,32,9,25,160.6
9,Will Rogers,MSST,415,610,68.0,3974,6.5,75,35,8,24,139.1
10,Holton Ahlers,ECU,315,469,67.2,3708,7.9,74,28,5,16,151.1
11,Sam Hartman,WAKE,270,428,63.1,3701,8.6,68,38,12,34,159.4
12,Max Duggan,TCU,267,419,63.7,3698,8.8,80,32,8,29,159.2
13,C.J. Stroud,OSU,258,389,66.3,3688,9.5,79,41,6,12,177.7
14,Jayden de Laura,ARIZ,272,435,62.5,3685,8.5,73,25,13,23,146.7
15,Bo Nix,ORE,294,409,71.9,3593,8.8,67,29,7,5,165.7
16,Seth Henigan,MEM,286,446,64.1,3571,8.0,79,22,8,35,144.1
17,Austin Aune,UNT,232,411,56.4,3547,8.6,70,33,15,10,148.1
18,Tanner Mordecai,SMU,288,443,65.0,3524,8.0,75,33,10,17,151.9
19,Aidan O'Connell,PUR,320,499,64.1,3490,7.0,60,22,13,22,132.2
20,Carter Bradley,USA,276,426,64.8,3336,7.8,64,28,12,23,146.6
21,Bryce Young,ALA,245,380,64.5,3328,8.8,65,32,5,18,163.2
22,Kurtis Rourke,OHIO,244,353,69.1,3256,9.2,75,25,4,17,167.7
23,Chevan Cordeiro,SJSU,259,426,60.8,3250,7.6,82,23,6,42,139.9
24,Cam Ward,WSU,320,497,64.4,3231,6.5,60,23,9,46,130.6
25,Jordan Travis,FSU,226,353,64.0,3214,9.1,78,24,5,15,160.1
26,Jaren Hall,BYU,248,376,66.0,3171,8.4,68,31,6,12,160.8
27,Dillon Gabriel,OU,230,367,62.7,3168,8.6,78,25,6,25,154.4
28,Chase Cunningham,MTSU,309,463,66.7,3156,6.8,98,21,10,29,134.6
29,Dorian Thompson-Robinson,UCLA,266,382,69.6,3154,8.3,70,27,10,16,157.1
30,Hendon Hooker,TENN,229,329,69.6,3135,9.5,78,27,2,23,175.5
31,Jack Plummer,CAL/PUR,282,451,62.5,3095,6.9,58,21,9,31,131.6
32,Hunter Dekkers,ISU,302,457,66.1,3044,6.7,54,19,14,26,129.6
33,Cameron Rising,UTAH,249,385,64.7,3034,7.9,72,26,8,9,149.0
34,Cole Snyder,BUFF,271,461,58.8,3030,6.6,69,18,8,32,123.4
35,E.J. Warner,TEM,268,443,60.5,3028,6.8,78,18,12,8,125.9
36,Spencer Rattler,SC,264,399,66.2,3026,7.6,72,18,12,31,138.7
37,Michael Pratt,TULN,215,338,63.6,3010,8.9,87,27,5,27,161.8
38,Taulia Tagovailoa,MD,262,391,67.0,3008,7.7,68,18,8,32,142.7
39,Jaxson Dart,MISS,226,362,62.4,2974,8.2,72,20,11,14,143.6
40,Riley Leonard,DUKE,250,391,63.9,2967,7.6,81,20,6,16,141.5
41,Tanner McKee,STAN,264,426,62.0,2947,6.9,78,13,8,40,126.4
42,Chase Brice,APP,219,348,62.9,2921,8.4,80,27,6,18,155.6
43,Jayden Daniels,LSU,266,388,68.6,2913,7.5,54,17,3,43,144.5
44,Hayden Wolff,ODU,234,411,56.9,2908,7.1,77,18,6,34,127.9
45,Jake Haener,FRES,252,350,72.0,2896,8.3,65,20,3,28,158.6
46,Sean Clifford,PSU,226,351,64.4,2822,8.0,88,24,7,17,150.5
47,Gunnar Watson,TROY,206,335,61.5,2818,8.4,74,14,12,38,138.8
48,Blake Shapen,BAY,233,368,63.3,2790,7.6,74,18,10,22,137.7
49,Brady Cook,MIZ,248,383,64.8,2739,7.2,79,14,7,26,133.2
50,Ben Bryant,CIN,213,348,61.2,2732,7.9,76,21,7,25,143.0
51,John Paddock,BALL,286,480,59.6,2719,5.7,43,18,14,14,113.7
51,J.J. McCarthy,MICH,208,322,64.6,2719,8.4,75,22,5,12,155.0
53,N'Kosi Perry,FAU,215,370,58.1,2712,7.3,57,25,5,14,139.3
54,Grayson McCall,CCU,207,297,69.7,2700,9.1,75,24,2,19,171.4
55,Todd Centeio,JMU,181,284,63.7,2697,9.5,62,25,5,15,169.0
56,Payton Thorne,MSU,242,387,62.5,2679,6.9,72,19,11,18,131.2
57,Matt McDonald,BGSU,232,379,61.2,2669,7.0,59,22,9,32,134.8
58,Layne Hatcher,TXST/ARST,275,442,62.2,2653,6.0,74,19,10,27,122.3
59,Tommy DeVito,ILL,257,369,69.6,2650,7.2,63,15,4,27,141.2
60,KJ Jefferson,ARK,204,300,68.0,2648,8.8,73,24,5,23,165.2
61,Spencer Sanders,OKST,212,368,57.6,2642,7.2,55,17,9,16,128.3
62,Garrett Shrader,SYR,205,317,64.7,2640,8.3,58,17,7,33,147.9
63,DJ Irons,AKR,253,379,66.8,2605,6.9,80,10,7,42,129.5
64,John Rhys Plumlee,UCF,218,346,63.0,2586,7.5,68,14,8,28,134.5
65,Anthony Richardson Sr.,FLA,176,327,53.8,2549,7.8,78,17,9,13,131.0
66,Chris Reynolds,CLT,201,316,63.6,2540,8.0,60,22,11,24,147.1
67,DJ Uiagalelei,CLEM,229,369,62.1,2521,6.8,59,22,7,22,135.3
68,James Blackman,ARST,223,347,64.3,2471,7.1,58,14,3,35,135.7
69,Darren Grainger,GAST,174,297,58.6,2443,8.2,75,18,7,34,143.0
70,Casey Thompson,NEB,173,274,63.1,2407,8.8,87,17,10,24,150.1
71,Will Levis,UK,185,283,65.4,2406,8.5,70,19,10,36,151.9
72,Chandler Rogers,ULM,216,319,67.7,2403,7.5,89,15,7,35,142.1
73,Kedon Slovis,PITT,184,315,58.4,2397,7.6,66,10,9,15,127.1
74,Brayden Schager,HAW,221,400,55.3,2348,5.9,66,13,10,13,110.3
75,Connor Bazelak,IU,235,426,55.2,2312,5.4,52,13,10,25,106.1
76,Dequan Finn,TOL,188,315,59.7,2260,7.2,69,23,12,19,136.4
77,Brennan Armstrong,UVA,185,338,54.7,2210,6.5,64,7,12,34,109.4
78,Quinn Ewers,TEX,172,296,58.1,2177,7.4,49,15,6,11,132.6
79,Grant Wells,VT,196,332,59.0,2171,6.5,85,9,9,30,117.5
80,Davis Brin,TLSA,148,250,59.2,2138,8.6,76,17,8,32,147.1
81,Graham Mertz,WISC,164,286,57.3,2136,7.5,74,19,10,23,135.0
82,Taylor Powell,EMU,174,269,64.7,2111,7.8,75,16,8,24,144.3
83,Collin Schlee,KENT,157,266,59.0,2109,7.9,56,13,5,17,138.0
84,JT Daniels,WVU,200,327,61.2,2107,6.4,67,13,9,16,122.9
85,TJ McMahon,RICE,160,266,60.2,2102,7.9,78,18,14,25,138.3
86,Gavin Hardison,UTEP,164,315,52.1,2044,6.5,76,11,8,22,113.0
87,Taylen Green,BOIS,166,271,61.3,2042,7.5,52,14,6,6,137.2
88,Jalen Mayden,SDSU,141,237,59.5,2030,8.6,73,12,10,17,139.7
89,Drew Pyne,ND,164,254,64.6,2021,8.0,41,22,6,15,155.3
90,Jalon Daniels,KU,152,230,66.1,2014,8.8,73,18,4,7,162.0
91,Daniel Richardson,CMU,179,318,56.3,1988,6.3,54,15,5,19,121.2
92,Grayson James,FIU,209,357,58.5,1967,5.5,60,11,11,14,108.8
93,Dylan Hopkins,UAB,136,215,63.3,1913,8.9,75,10,4,14,149.6
94,Clay Millen,CSU,169,234,72.2,1910,8.2,76,10,6,53,149.8
95,Parker McNeil,LT,123,214,57.5,1908,8.9,74,18,8,16,152.7
96,Doug Brumfield,UNLV,164,254,64.6,1898,7.5,72,10,5,21,136.4
97,Tyler Van Dyke,MIA,160,253,63.2,1844,7.3,52,10,5,13,133.6
98,Spencer Petras,IOWA,157,281,55.9,1725,6.1,58,5,5,32,109.8
99,Phil Jurkovec,BC,147,247,59.5,1711,6.9,69,11,8,25,125.9
100,Ben Wooldridge,UL,138,244,56.6,1661,6.8,63,15,5,11,129.9
101,Ryan Hilinski,NU,144,258,55.8,1644,6.4,49,6,7,6,111.6
102,Will Howard,KSU,119,199,59.8,1633,8.2,80,15,4,8,149.6
103,Robby Ashford,AUB,123,250,49.2,1613,6.5,62,7,7,24,107.0
104,Andrew Peasley,WYO,144,275,52.4,1574,5.7,51,10,9,19,105.9
105,Malik Cunningham,LOU,136,218,62.4,1568,7.2,55,8,5,19,130.3
106,Cam Fancher,MRSH,131,235,55.7,1558,6.6,71,10,6,16,120.4
107,Johnathan Bennett,LIB,131,224,58.5,1534,6.8,60,12,9,22,125.6
108,Emory Jones,ASU,125,199,62.8,1533,7.7,73,7,4,21,135.1
109,Donovan Smith,TTU,147,222,66.2,1505,6.8,58,12,8,18,133.8
110,Cooper Legas,USU,135,221,61.1,1499,6.8,75,11,10,21,125.4
111,Trenton Bourguet,ASU,145,204,71.1,1490,7.3,38,11,6,7,144.3
112,Nate Cox,NEV,133,251,53.0,1466,5.8,75,5,5,14,104.6
113,Ben Gulbranson,ORST,121,195,62.1,1455,7.5,63,9,5,11,134.8
114,Diego Pavia,NMSU,101,190,53.2,1450,7.6,72,13,6,10,133.5
115,Zion Turner,CONN,149,258,57.8,1407,5.5,62,9,10,18,107.3
116,Tanner Morgan,MINN,107,160,66.9,1382,8.6,66,9,5,8,151.7
117,Tyler Shough,TTU,106,177,59.9,1304,7.4,47,7,4,11,130.3
118,Aveon Smith,M-OH,108,217,49.8,1299,6.0,76,11,5,23,112.2
119,Jack Salopek,WMU,104,212,49.1,1285,6.1,76,7,11,28,100.5
120,Jason Bean,KU,87,136,64.0,1280,9.4,66,14,4,4,171.1
121,AJ Swann,VAN,115,198,58.1,1274,6.4,66,10,2,12,126.8
122,Devin Leary,NCST,118,193,61.1,1265,6.6,75,11,4,9,130.9
123,Adrian Martinez,KSU,118,184,64.1,1261,6.9,81,6,1,12,131.4
124,Emmett Morehead,BC,115,192,59.9,1254,6.5,39,10,6,21,125.7
125,J.T. Shrout,COLO,90,203,44.3,1220,6.0,81,7,8,9,98.3
125,Haynes King,TA&M,104,187,55.6,1220,6.5,66,7,6,7,116.4
127,Zach Wilcke,USM,100,175,57.1,1151,6.6,76,8,9,15,117.2
128,Braylon Braxton,TLSA,92,163,56.4,1133,7.0,52,10,2,13,132.6
129,Chandler Fields,UL,106,182,58.2,1123,6.2,50,11,4,11,125.6
130,Behren Morton,TTU,96,169,56.8,1117,6.6,55,7,6,12,118.9
131,Jeff Sims,GT,110,188,58.5,1115,5.9,59,5,3,19,113.9
132,Kaidon Salter,LIB,87,149,58.4,1086,7.3,51,8,5,16,130.6
133,Gerry Bohanon,USF/BAY,91,160,56.9,1070,6.7,91,6,6,4,117.9
134,Brock Domann,LOU,79,144,54.9,998,6.9,54,4,6,8,113.9
135,Mike Wright Jr.,VAN,85,148,57.4,974,6.6,80,12,4,4,134.1
136,Joe Milton III,TENN,53,82,64.6,971,11.8,64,10,0,4,204.3
137,Trey Lowe,USM,62,119,52.1,965,8.1,59,5,2,15,130.7
138,Athan Kaliakmanis,MINN,60,111,54.1,946,8.5,49,3,4,7,127.4
139,Chance Nolan,ORST,66,111,59.5,939,8.5,74,7,8,2,136.9
140,Henry Colombi,MRSH,94,128,73.4,938,7.3,78,6,4,20,144.2
141,Hudson Card,TEX,75,108,69.4,928,8.6,45,6,1,8,158.1
142,Conner Weigman,TA&M,73,132,55.3,896,6.8,45,8,0,8,132.3
143,Logan Fife,FRES,84,120,70.0,892,7.4,75,2,6,11,127.9
144,Tucker Gleason,TOL,58,122,47.5,884,7.2,57,8,3,9,125.1
145,Miles Kendrick,UNM,84,143,58.7,863,6.0,69,3,7,24,106.6
146,Haaziq Daniels,AFA,40,83,48.2,836,10.1,80,7,2,12,155.8
147,Katravis Marsh,USF,58,113,51.3,827,7.3,73,7,2,6,129.7
148,Brett Gabbert,M-OH,74,115,64.3,816,7.1,58,4,0,14,135.4
149,Jake Garcia,MIA,68,114,59.6,803,7.0,71,5,4,16,126.3
150,Garrett Nussmeier,LSU,52,84,61.9,800,9.5,75,5,4,1,152.0
151,Ethan Hampton,NIU,72,122,59.0,798,6.5,70,7,6,6,123.1
152,Jeff Undercuffler Jr.,AKR,70,120,58.3,791,6.6,61,5,5,13,119.1
152,Brady Olson,MASS,77,153,50.3,791,5.2,53,2,8,8,87.6
154,Tai Lavatai,NAVY,42,91,46.2,787,8.6,65,5,3,5,130.3
155,Evan Simon,RUTG,79,137,57.7,777,5.7,40,4,6,10,106.2
156,Austin Smith,EMU,68,119,57.1,774,6.5,67,6,4,9,121.7
157,Landry Lyddy,LT,82,126,65.1,767,6.1,41,3,4,5,117.7
158,Shane Illingworth,NEV,84,145,57.9,761,5.2,53,2,3,20,102.4
159,Gavin Wimsatt,RUTG,65,145,44.8,757,5.2,55,5,7,14,90.4
160,Logan Bonner,USU,62,110,56.4,753,6.8,44,6,8,2,117.3
161,Ben Finley,NCST,65,123,52.8,741,6.0,52,3,3,4,106.6
162,Gavin Frakes,NMSU,55,110,50.0,736,6.7,67,4,7,5,105.5
163,Jacob Zeno,UAB,58,102,56.9,721,7.1,48,5,3,7,126.5
164,Garret Rangel,OKST,59,115,51.3,711,6.2,84,4,5,7,106.0
165,Cade Klubnik,CLEM,61,100,61.0,697,7.0,68,2,3,6,120.1
166,Tyler Buchner,ND,46,83,55.4,651,7.8,75,3,5,6,121.2
167,MJ Morris,NCST,52,86,60.5,648,7.5,44,7,1,6,148.3
168,Mikey Keene,UCF,60,83,72.3,647,7.8,45,6,1,6,159.2
169,Rocky Lombardi,NIU,50,75,66.7,645,8.6,38,5,1,2,158.2
170,AJ Padgett,RICE,39,77,50.6,634,8.2,48,5,1,7,138.6
171,Treyson Bourguet,WMU,54,109,49.5,601,5.5,48,2,1,11,100.1
172,Owen McCown,COLO,57,100,57.0,600,6.0,42,2,2,10,110.0
172,Nevan Cremascoli,NIU,49,102,48.0,600,5.9,53,5,7,3,99.9
174,Zach Gibson,GT,57,104,54.8,589,5.7,41,1,2,12,101.7
174,Brendan Sullivan,NU,71,96,74.0,589,6.1,46,4,3,11,133.0
176,CJ Harris,OHIO,52,97,53.6,577,5.9,48,3,1,5,111.7
177,Jarret Doege,WKU/TROY,44,64,68.8,575,9.0,39,5,3,8,160.6
178,Zach Pyron,GT,49,82,59.8,565,6.9,56,3,3,7,122.4
179,Haden Carlson,FIU,47,88,53.4,553,6.3,75,4,5,3,109.8
180,Max Johnson,TA&M,43,71,60.6,517,7.3,36,3,0,10,135.7
181,Calvin Brownholtz,UTEP,37,63,58.7,512,8.1,68,4,4,2,135.3
182,Hank Bachmeier,BOIS,51,94,54.3,497,5.3,47,6,3,6,113.3
183,Garrett Greene,WVU,43,78,55.1,493,6.3,71,5,3,4,121.7
184,Jarrett Guest,CCU,25,54,46.3,438,8.1,48,2,4,10,111.8
185,Jase Bauer,CMU,35,59,59.3,435,7.4,44,1,5,6,109.9
186,TJ Finley,AUB,33,53,62.3,431,8.1,39,1,4,6,121.7
187,Bryson Barnes,UTAH,37,57,64.9,430,7.5,31,4,2,5,144.4
188,Evan Prater,CIN,35,66,53.0,423,6.4,32,1,1,13,108.8
189,Xavier Williams,CLT,34,67,50.7,420,6.3,50,2,2,6,107.3
190,Byrum Brown,USF,36,50,72.0,404,8.1,37,5,1,4,168.9
191,Preston Stone,SMU,28,48,58.3,388,8.1,75,2,1,2,135.8
192,Camden Orth,BGSU,34,57,59.6,378,6.6,31,3,2,4,125.7
193,Cameron Friel,UNLV,33,49,67.3,364,7.4,38,3,1,9,145.9
194,Cade Ballard,ARMY,20,46,43.5,363,7.9,73,2,2,3,115.4
195,Matthew Downing,LT,33,62,53.2,356,5.7,75,3,4,8,104.5
196,Mitch Griffis,WAKE,29,41,70.7,348,8.5,33,5,1,4,177.4
196,Devin Kargman,KENT,29,70,41.4,348,5.0,46,3,3,3,88.8
198,Drew Allar,PSU,35,60,58.3,344,5.7,32,4,0,3,128.5
199,Carlos Del Rio-Wilson,SYR,22,51,43.1,342,6.7,45,1,2,9,98.1
200,Joey Yellen,HAW,40,87,46.0,324,3.7,22,0,2,7,72.7
201,Harrison Bailey,UNLV,30,58,51.7,318,5.5,49,2,1,7,105.7
202,Garrett Dzuro,MASS,22,36,61.1,311,8.6,53,1,0,9,142.8
203,Carson Beck,UGA,26,35,74.3,310,8.9,28,4,0,0,186.4
204,Billy Edwards Jr.,MD,28,46,60.9,308,6.7,45,3,0,9,138.6
205,Nick Patti,PITT,29,61,47.5,303,5.0,45,2,1,3,96.8
206,Tyhier Tyler,ARMY,8,18,44.4,301,16.7,77,2,1,4,210.5
207,Jalen Milroe,ALA,31,53,58.5,297,5.6,35,5,3,4,125.4
208,Ethan Garbers,UCLA,26,37,70.3,294,7.9,50,2,2,3,144.0
209,Nicholas Vattiato,MTSU,30,46,65.2,293,6.4,38,0,1,8,114.4
210,Ty Keyes,USM,10,17,58.8,281,16.5,89,3,2,0,232.4
211,Austin Burton,PUR,36,56,64.3,273,4.9,28,3,2,4,115.8
212,Malik Hornsby,ARK,13,27,48.1,268,9.9,68,1,2,5,128.9
213,Noah Vedral,RUTG,21,46,45.7,264,5.7,43,1,1,2,96.7
214,Braxton Burmeister,SDSU/VT,36,72,50.0,263,3.7,26,2,3,6,81.5
215,Gino Campiotti,MASS/NAU,33,74,44.6,257,3.5,41,1,6,5,62.0
216,Tate Rodemaker,FSU,18,31,58.1,254,8.2,69,2,2,5,135.3
217,Jack Chambers,NCST,32,64,50.0,252,3.9,21,1,0,6,88.2
218,Jemel Jones,ARMY,13,38,34.2,250,6.6,67,1,1,4,92.9
219,Gunnar Gundy,OKST,19,39,48.7,247,6.3,83,3,4,3,106.8
220,Bishop Davenport,USU,27,44,61.4,245,5.6,44,1,2,7,106.5
221,Jacurri Brown,MIA,27,45,60.0,230,5.1,27,3,3,6,111.6
222,Justin Holaday,UNM,26,59,44.1,222,3.8,31,0,1,12,72.3
223,Kyron Drones,BAY,14,23,60.9,219,9.5,50,1,1,0,146.5
224,AJ Mayer,M-OH/ARST,19,39,48.7,214,5.5,53,2,1,2,106.6
225,William Atkins IV,JMU,19,43,44.2,212,4.9,43,2,5,7,77.7
226,Kevin Jennings,SMU,17,22,77.3,205,9.3,39,1,0,1,170.5
227,Shawqi Itraish,RICE,22,41,53.7,197,4.8,19,0,4,2,74.5
228,Nate Yarnell,PITT,10,14,71.4,195,13.9,39,1,0,1,212.0
