RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
1,Max Duffy,UK,49,2358,70,48.1,44.6
2,Joseph Charlton,SC,68,3244,66,47.7,43.0
3,Trenton Gill,NCST,56,2663,75,47.6,42.5
4,Braden Mann,TA&M,57,2686,68,47.1,41.2
5,Dane Roy,HOU,54,2531,69,46.9,43.6
6,Jake Camarda,UGA,61,2857,67,46.8,42.1
7,Dom Maggio,WAKE,74,3464,66,46.8,39.1
8,Oscar Bradburn,VT,53,2467,69,46.5,41.8
9,Ryan Stonehouse,CSU,49,2274,64,46.4,42.4
10,Tyson Dyer,UNM,59,2718,63,46.1,42.5
11,Michael Turk,ASU,67,3082,75,46.0,41.6
11,Trent Schneider,USF,71,3266,65,46.0,38.8
13,John Haggerty III,WKU,45,2064,64,45.9,42.1
14,Austin Parker,DUKE,66,3018,72,45.7,41.1
15,Devin Anctil,KSU,56,2541,64,45.4,40.3
16,Brandon Heicklen,SDSU,74,3347,61,45.2,40.3
17,Austin McNamara,TTU,59,2657,66,45.0,42.5
18,Joel Whitford,WASH,44,1979,67,45.0,43.1
19,Chris Barnes,RICE,35,1569,66,44.8,43.2
20,Adam Williams,MEM,43,1927,77,44.8,41.1
21,Pressley Harvin III,GT,80,3583,58,44.8,39.1
22,Blake Hayes,ILL,77,3437,70,44.6,41.5
23,Kyle Thompson,KU,57,2538,73,44.5,39.0
24,Alex Kinney,COLO,59,2619,63,44.4,39.6
25,Drue Chrisman,OSU,46,2037,61,44.3,40.0
26,Mac Brown,MISS,57,2524,65,44.3,38.2
27,Rhys Byrns,UL,45,1991,70,44.2,40.9
28,Will Hart,MICH,51,2256,61,44.2,38.9
29,Cody Grace,ARST,65,2874,75,44.2,40.6
30,Blake Maimone,ORE,61,2685,62,44.0,38.6
31,Tommy Townsend,FLA,42,1847,71,44.0,41.9
32,Lou Hedley,MIA,64,2808,67,43.9,40.8
33,Sterling Hofrichter,SYR,69,3026,65,43.9,43.0
34,Arryn Siposs,AUB,61,2674,55,43.8,38.9
35,Jake Julien,EMU,50,2190,66,43.8,39.9
36,Jared Porter,ULM,54,2364,72,43.8,38.9
37,Adam Korsak,RUTG,76,3327,69,43.8,41.5
38,Alvin Kenworthy,UNT,50,2183,73,43.7,38.9
39,Matthew Hayball,FAU,68,2958,77,43.5,40.6
40,Kyle Kramer,M-OH,75,3252,59,43.4,37.8
41,Hayes Hicken,UNLV,66,2861,71,43.3,34.7
42,Tucker McCann,MIZ,68,2940,62,43.2,39.0
43,Jake Hartbarger,MSU,63,2721,61,43.2,37.9
44,Jake Oldroyd,BYU,42,1813,56,43.2,37.8
45,Derek Adams,KENT,59,2543,76,43.1,41.4
46,Quinton Conaway,NEV,60,2584,67,43.1,38.9
47,Thomas Bennett,TLSA,61,2626,62,43.0,37.7
48,Harrison Smith,VAN,77,3313,66,43.0,39.9
49,Tommy Heatherly,FIU,54,2321,68,43.0,41.2
50,Matt Ference,NIU,65,2792,63,43.0,40.3
51,Wade Lees,UCLA/MD,49,2100,72,42.9,40.1
52,Zach Von Rosenberg,LSU,47,2013,57,42.8,39.1
