RK,NAME,TEAM,REC,YDS,AVG,LNG,TD
1,Ja'Marr Chase,LSU,84,1780,21.2,78,20
2,Omar Bayless,ARST,93,1653,17.8,92,17
3,Justin Jefferson,LSU,111,1540,13.9,71,18
4,Antonio Gandy-Golden,LIB,79,1396,17.7,73,10
5,Devin Duvernay,TEX,106,1386,13.1,75,9
6,CeeDee Lamb,OKLA,62,1327,21.4,71,14
7,Tyler Johnson,MINN,86,1318,15.3,73,13
8,Damonte Coxie,MEM,76,1276,16.8,59,9
8,Tutu Atwell,LOU,70,1276,18.2,90,12
10,Michael Pittman Jr.,USC,101,1275,12.6,77,11
11,DeVonta Smith,ALA,68,1256,18.5,85,14
12,Gabe Davis,UCF,72,1241,17.2,73,12
13,James Proche II,SMU,111,1225,11.0,52,15
14,Rashod Bateman,MINN,60,1219,20.3,66,11
15,Brandon Aiyuk,ASU,65,1192,18.3,86,8
16,Tamorrion Terry,FSU,60,1188,19.8,91,9
17,Quez Watkins,USM,64,1178,18.4,77,6
18,Isaiah Hodgins,ORST,86,1171,13.6,42,13
19,Tee Higgins,CLEM,59,1167,19.8,65,13
20,Jerry Jeudy,ALA,77,1163,15.1,85,10
21,Tre Walker,SJSU,79,1161,14.7,50,2
22,JoJo Ward,HAW,65,1134,17.4,71,11
23,Lucky Jackson,WKU,94,1133,12.1,69,4
24,Jared Smart,HAW,87,1129,13.0,58,5
25,Warren Jackson,CSU,77,1119,14.5,87,8
26,Brandon Arconado,WSU,78,1109,14.2,44,7
27,Cedric Byrd II,HAW,98,1097,11.2,46,10
28,Austin Watkins Jr.,UAB,57,1092,19.2,67,6
29,Jadan Blue,TEM,95,1067,11.2,79,4
30,Hasise Dubois,UVA,75,1062,14.2,67,6
31,Amon-Ra St. Brown,USC,77,1042,13.5,95,6
32,Keylon Stokes,TLSA,62,1040,16.8,62,6
33,Chase Claypool,ND,66,1037,15.7,47,13
34,David Bell,PUR,86,1035,12.0,54,7
35,Dyami Brown,UNC,51,1034,20.3,66,12
36,Trishton Jackson,SYR,66,1023,15.5,85,11
37,Denzel Mims,BAY,66,1020,15.5,46,12
38,Dazz Newsome,UNC,72,1018,14.1,57,10
39,Harrison Bryant,FAU,65,1004,15.4,57,7
40,Whop Philyor,IND,70,1002,14.3,56,5
41,Kendall Hinton,WAKE,73,1001,13.7,62,4
41,Sage Surratt,WAKE,66,1001,15.2,70,11
43,Siaosi Mariner,USU,63,987,15.7,80,10
44,Easop Winston Jr.,WSU,85,970,11.4,39,11
45,Jauan Jennings,TENN,59,969,16.4,51,8
46,John Hightower,BSU,51,943,18.5,76,8
47,Elijah Cooks,NEV,76,926,12.2,55,8
48,Cody White,MSU,66,922,14.0,49,6
49,Jason-Matthew Sharsh,HAW,87,913,10.5,30,5
50,Tyler Vaughns,USC,74,912,12.3,49,6
51,Victor Tucker,CLT,52,909,17.5,58,7
52,C.J. Johnson,ECU,54,908,16.8,75,4
53,Marquez Stevenson,HOU,52,907,17.4,96,9
54,Ja'Marcus Bradley,UL,60,906,15.1,74,10
55,Branden Mack,TEM,59,904,15.3,75,7
55,KJ Hamler,PSU,56,904,16.1,58,8
57,Tylan Wallace,OKST,53,903,17.0,90,8
58,Tim Jones,USM,73,902,12.4,68,3
59,Quintez Cephus,WIS,59,901,15.3,52,7
60,JD Spielman,NEB,49,898,18.3,65,5
61,Kalil Pimpleton,CMU,82,894,10.9,80,6
62,Terrell Jana,UVA,74,886,12.0,47,3
63,Deshaunte Jones,ISU,76,877,11.5,84,2
64,Kaylon Geiger,TROY,77,873,11.3,57,5
65,Jhamon Ausbon,TA&M,66,872,13.2,41,5
65,Khalil Shakir,BSU,63,872,13.8,50,6
67,Isaiah McKoy,KENT,57,870,15.3,78,8
68,Justyn Ross,CLEM,66,865,13.1,59,8
69,Jonathan Adams,ARST,62,851,13.7,63,5
70,Maurice Ffrench,PITT,96,850,8.9,96,4
70,Elijah Moore,MISS,67,850,12.7,55,6
72,Chris Olave,OSU,49,849,17.3,58,12
73,Johnny Johnson III,ORE,57,836,14.7,73,7
74,Brycen Hopkins,PUR,61,830,13.6,72,7
74,Tre Nixon,UCF,49,830,16.9,53,7
74,Seth Williams,AUB,59,830,14.1,48,8
77,Andrew Parchment,KU,65,829,12.8,75,7
78,Hunter Bryant,WASH,52,825,15.9,50,3
79,Bryan Edwards,SC,71,816,11.5,75,6
80,Bailey Gaither,SJSU,52,812,15.6,80,6
81,JaCorey Sullivan,CMU,57,808,14.2,37,3
82,Kirk Merritt,ARST,70,806,11.5,45,12
83,Jahcour Pearson,WKU,76,804,10.6,69,7
84,Reggie Roberson Jr.,SMU,43,803,18.7,75,6
85,Dante Wright,CSU,56,802,14.3,75,4
85,Skyy Moore,WMU,51,802,15.7,61,3
87,Tyquan Thornton,BAY,45,782,17.4,78,5
88,Sam Crawford,TLSA,59,777,13.2,66,5
