RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')"
1,Kaden Wetjen,IOWA,WR,26,727,28.0,100,1,29,328,11.3,85,1
2,Zavion Thomas,LSU,WR,24,633,26.4,95,1,14,66,4.7,17,0
3,Henry Rutledge,CLT,RB,24,605,25.2,79,0,13,48,3.7,13,0
4,Leyton Smithson,WSU,WR,26,599,23.0,46,0,0,0,0.0,0,0
5,Jeremiah Patterson,ARIZ,WR,27,596,22.1,61,0,15,78,5.2,32,0
6,Winston Wright,ECU,WR,22,590,26.8,94,1,6,18,3.0,8,0
7,Quinton Jackson,RICE,RB,22,589,26.8,100,1,0,0,0.0,0,0
7,Malcolm Gillie,BALL,WR,23,589,25.6,97,1,0,0,0.0,0,0
9,Demarcus Griffin-Taylor,LT,DB,23,583,25.3,58,0,0,0,0.0,0,0
10,DeAndre Buchannon,GASO,WR,25,561,22.4,61,0,1,0,0.0,0,0
11,C'Quan Jnopierre,FIU/STTHO,WR,19,538,28.3,55,0,0,0,0.0,0,0
12,Qua Ashley,KENN,RB,19,529,27.8,97,2,0,0,0.0,0,0
13,Jamaal Bell,BAY,WR,22,527,24.0,100,1,0,0,0.0,0,0
14,Ian Foster,MRSH,S,16,518,32.4,64,0,0,0,0.0,0,0
15,Makai Lemon,USC,WR,19,514,27.1,80,0,0,0,0.0,0,0
16,Kevin Davis,M-OH,RB,25,501,20.0,81,0,4,18,4.5,6,0
17,Mel Brown,CONN,RB,17,495,29.1,96,1,0,0,0.0,0,0
18,Jaden Nixon,WMU,RB,23,479,20.8,61,0,0,0,0.0,0,0
18,Joseph Himon II,NU,RB,20,479,24.0,96,0,0,0,0.0,0,0
20,Ja'Quez Cross,ARST,RB,24,475,19.8,33,0,0,0,0.0,0,0
21,Keelan Marion,BYU,WR,18,472,26.2,100,2,0,0,0.0,0,0
22,Terrez Worthy,TEM,RB,23,471,20.5,34,0,0,0,0.0,0,0
23,DK Kaufman,NCSU,S,15,469,31.3,91,0,0,0,0.0,0,0
24,Chris Johnson Jr.,MIA,RB,19,464,24.4,40,0,0,0,0.0,0,0
25,Kenny Johnson,PITT,WR,22,459,20.9,40,0,10,65,6.5,17,0
26,Jacquez Stuart,TOL,RB,14,458,32.7,98,1,0,0,0.0,0,0
27,Easton Messer,WKU,WR,19,457,24.1,60,0,0,0,0.0,0,0
28,Barion Brown,UK,WR,19,449,23.6,99,1,1,6,6.0,6,0
28,Rayshawn Pleasant,TULN,CB,13,449,34.5,100,2,0,0,0.0,0,0
30,Nate McCollum,UNC,WR,17,448,26.4,49,0,0,0,0.0,0,0
31,Jeremiah Cobb,AUB,RB,19,444,23.4,66,0,0,0,0.0,0,0
32,Drae McCray,TTU,WR,19,432,22.7,74,0,0,0,0.0,0,0
33,Isaiah Bryant,NAVY,WR,20,431,21.5,42,0,1,2,2.0,2,0
34,Junior Sherrill,VAN,WR,16,427,26.7,100,1,0,0,0.0,0,0
35,Zylan Perry,UL,RB,17,423,24.9,57,0,0,0,0.0,0,0
36,TK King,WYO,WR,15,422,28.1,100,1,4,-1,-0.3,0,0
37,Kellen Stewart,MTSU,WR,20,414,20.7,38,0,3,17,5.7,10,0
38,Dashawn Martin,KENT,WR,18,400,22.2,39,0,0,0,0.0,0,0
39,Lloyd Avant,TLSA,RB,14,392,28.0,100,1,0,0,0.0,0,0
40,Vinny Anthony II,WIS,WR,14,390,27.9,74,0,7,26,3.7,9,0
41,Peyton Jones,DUKE,RB,18,382,21.2,67,0,0,0,0.0,0,0
42,Marquis Johnson,MIZ,WR,18,380,21.1,63,0,0,0,0.0,0,0
43,Samuel Singleton Jr.,FSU,RB,15,373,24.9,95,1,0,0,0.0,0,0
44,Robert Williams,UL,WR,13,372,28.6,96,1,0,0,0.0,0,0
45,Zach Hrbacek,SHSU,RB,18,369,20.5,33,0,0,0,0.0,0,0
46,Cam Ross,JMU,WR,13,366,28.2,94,1,0,0,0.0,0,0
47,Monte Watkins,NMSU,RB,18,365,20.3,33,0,0,0,0.0,0,0
48,Trevor Wilson,KU,WR,18,362,20.1,29,0,5,26,5.2,15,0
49,Tykeem Wallace,KENN,WR,17,353,20.8,30,0,0,0,0.0,0,0
50,Julian Gray,LIB,RB,17,348,20.5,56,0,2,15,7.5,8,0
51,Jabari Bates,SJSU,RB,16,347,21.7,42,0,0,0,0.0,0,0
52,Kobe Johnson,CSU,RB,19,345,18.2,33,0,9,135,15.0,82,1
53,Ja'Shaun Poke,SDSU,WR,17,342,20.1,44,0,0,0,0.0,0,0
53,Marion Lukes,CMU,RB,22,342,15.5,30,0,0,0,0.0,0,0
55,Rahkeem Smith,BGSU,WR,15,338,22.5,58,0,1,0,0.0,0,0
56,Logan Wilson,CIN,CB,17,336,19.8,29,0,0,0,0.0,0,0
57,JQ Gray,USM,RB,17,333,19.6,31,0,0,0,0.0,0,0
58,Nohl Williams,CAL,CB,12,331,27.6,80,1,0,0,0.0,0,0
58,Nicholas Singleton,PSU,RB,14,331,23.6,66,0,0,0,0.0,0,0
60,Jayden Harrison,ND,WR,12,320,26.7,98,1,0,0,0.0,0,0
60,Brashard Smith,SMU,RB,14,320,22.9,41,0,1,-2,-2.0,0,0
62,Bobby Golden,AKR,WR,17,316,18.6,26,0,0,0,0.0,0,0
62,Solomon Beebe,UAB,RB,11,316,28.7,90,0,0,0,0.0,0,0
64,Koi Perich,MINN,DB,16,314,19.6,32,0,22,188,8.5,60,0
65,Kylen Austin,LIB,WR,15,308,20.5,35,0,0,0,0.0,0,0
65,Davon Booth,MSST,RB,12,308,25.7,42,0,0,0,0.0,0,0
67,Jordin Parker,WMU,WR,11,307,27.9,75,0,12,31,2.6,11,0
67,Keith Reynolds,WASH,WR,14,307,21.9,50,0,0,0,0.0,0,0
69,Preston Fox,WVU,WR,11,304,27.6,43,0,13,105,8.1,29,0
70,Milan Tucker,FAU,WR,16,302,18.9,30,0,0,0,0.0,0,0
71,Jordan Houston,MRSH,RB,14,299,21.4,36,0,0,0,0.0,0,0
72,Tylan Hines,HAW,RB,18,298,16.6,26,0,9,122,13.6,44,1
72,Dylan Edwards,KSU,RB,16,298,18.6,29,0,10,140,14.0,71,1
72,Zack Card,ORST,WR,15,298,19.9,30,0,0,0,0.0,0,0
75,Larenzo McMillan,NMSU,RB,15,297,19.8,41,0,0,0,0.0,0,0
76,J'Koby Williams,TTU,RB,14,296,21.1,57,0,0,0,0.0,0,0
77,Kyler Pearson,OKST,WR,17,294,17.3,31,0,7,54,7.7,37,0
78,Matthew Golden,TEX,WR,14,285,20.4,31,0,0,0,0.0,0,0
78,DJ Riles,GAST,WR,14,285,20.4,32,0,5,10,2.0,4,0
78,Jacory Barney Jr.,NEB,WR,14,285,20.4,45,0,3,13,4.3,9,0
81,Cam Thompson,NIU,WR,10,283,28.3,91,1,1,8,8.0,8,0
82,Demond Claiborne,WAKE,RB,11,277,25.2,100,1,0,0,0.0,0,0
83,T.Y. Harding,MASS,WR,16,276,17.3,32,0,12,109,9.1,58,1
84,Deion Brown,EMU,RB,14,275,19.6,29,0,0,0,0.0,0,0
85,Kole Wilson,TXST,WR,13,269,20.7,44,0,14,97,6.9,18,0
86,Justin Pegues,BGSU,WR,9,263,29.2,100,1,21,88,4.2,24,0
87,Chris Carpenter,UTSA,WR,5,261,52.2,97,2,19,88,4.6,23,0
88,Juju McDowell,SC,RB,14,257,18.4,28,0,14,60,4.3,13,0
89,Eamonn Dennis,OHIO,WR,10,254,25.4,96,1,0,0,0.0,0,0
90,Keegan Jones,UCLA,RB,12,251,20.9,34,0,0,0,0.0,0,0
91,Thomas Williams,VT,CB,13,249,19.2,36,0,0,0,0.0,0,0
92,Chris Culliver,UNC,WR,5,242,48.4,95,2,0,0,0.0,0,0
93,Ta'Ron Keith,USF,RB,8,241,30.1,93,1,1,26,26.0,26,0
93,Eric Singleton Jr.,GT,WR,11,241,21.9,40,0,0,0,0.0,0,0
95,Ky Woods,NEV,RB,10,240,24.0,48,0,0,0,0.0,0,0
96,Jadan Baugh,FLA,RB,11,237,21.5,35,0,0,0,0.0,0,0
96,Marquis Ashley,NEV,WR,11,237,21.5,43,0,1,0,0.0,0,0
96,Dylan Riley,BOIS,RB,9,237,26.3,96,1,0,0,0.0,0,0
99,Kenari Wilcher,ILL,WR,12,235,19.6,27,0,0,0,0.0,0,0
100,Jordyn Bailey,TCU,WR,12,234,19.5,31,0,0,0,0.0,0,0
101,Noah Whittington,ORE,RB,8,232,29.0,100,0,0,0,0.0,0,0
102,Daniyel Ngata,WASH,RB,10,231,23.1,30,0,0,0,0.0,0,0
103,Christian Washington,CCU,RB,10,230,23.0,35,0,0,0,0.0,0,0
104,Jalen Moss,FRES,WR,15,228,15.2,41,0,18,231,12.8,85,1
105,Bryan Massey,HOU,DB,12,227,18.9,41,0,0,0,0.0,0,0
106,Jordan Marshall,MICH,RB,9,225,25.0,63,0,0,0,0.0,0,0
107,Devin Roche,ODU,RB,12,217,18.1,31,0,0,0,0.0,0,0
107,Terry Bussey,TA&M,WR,9,217,24.1,52,0,7,37,5.3,10,0
109,Devonte Ross,TROY,WR,13,214,16.5,30,0,11,154,14.0,77,1
110,Chris Tyree,UVA,WR,12,211,17.6,28,0,1,11,11.0,11,0
111,Jimmy Horn Jr.,COLO,WR,11,210,19.1,61,0,7,72,10.3,27,0
112,Brennan Presley,OKST,WR,11,208,18.9,30,0,7,3,0.4,5,0
113,Mekhi Mews,HOU,WR,8,207,25.9,37,0,19,132,6.9,75,1
113,Terrance Shelton Jr.,BUFF,RB,14,207,14.8,30,0,0,0,0.0,0,0
115,Tiger Bachmeier,STAN,WR,10,203,20.3,29,0,14,170,12.1,90,1
116,Corey Wren,UTEP,LB,6,196,32.7,100,1,0,0,0.0,0,0
116,Tank Pearson,OHIO,CB,10,196,19.6,31,0,0,0,0.0,0,0
118,Isaac Brown,LOU,RB,11,193,17.5,25,0,2,9,4.5,9,0
119,Caullin Lacy,LOU,WR,5,191,38.2,100,1,6,35,5.8,25,0
120,Jacob De Jesus,UNLV,WR,9,190,21.1,30,0,25,252,10.1,38,0
121,Jay Haynes,CLEM,RB,11,189,17.2,28,0,0,0,0.0,0,0
122,Kyrese Rowan,USU,WR,8,188,23.5,29,0,0,0,0.0,0,0
122,Yasin Willis,SYR,RB,9,188,20.9,43,0,0,0,0.0,0,0
124,Smith Snowden,UTAH,CB,7,187,26.7,36,0,0,0,0.0,0,0
