RK,NAME,TEAM,ATT,YDS,AVG,LNG,TD
1,Brad Roberts,AFA,345,1728,5.0,71,17
2,DeWayne McBride,UAB,233,1713,7.4,68,19
3,Mohamed Ibrahim,MINN,320,1665,5.2,54,20
4,Chase Brown,ILL,328,1643,5.0,49,10
5,Tyjae Spears,TULN,229,1581,6.9,75,19
6,Bijan Robinson,TEX,258,1580,6.1,78,18
7,Quinshon Judkins,MISS,274,1567,5.7,61,16
8,Deuce Vaughn,KSU,293,1558,5.3,88,9
9,Carson Steele,BALL,289,1556,5.4,48,14
10,Khalan Laborn,MRSH,302,1513,5.0,83,16
11,Blake Corum,MICH,247,1463,5.9,61,18
12,Keaton Mitchell,ECU,201,1452,7.2,81,14
13,Raheim Sanders,ARK,222,1443,6.5,76,10
14,Israel Abanikanda,PITT,239,1431,6.0,80,20
15,Kendre Miller,TCU,224,1399,6.2,75,17
16,Frank Gore Jr.,USM,228,1382,6.1,64,9
17,Jordan Mims,FRES,261,1370,5.2,82,18
18,Eric Gray,OU,213,1366,6.4,54,11
19,Zach Charbonnet,UCLA,195,1359,7.0,49,14
20,Marquez Cooper,KENT,285,1331,4.7,46,13
21,Braelon Allen,WISC,230,1242,5.4,96,11
22,Xazavian Valladay,ASU,215,1192,5.5,44,16
23,Brian Battie,USF,176,1186,6.7,68,8
24,Will Shipley,CLEM,210,1182,5.6,53,15
25,Samson Evans,EMU,249,1166,4.7,42,15
26,George Holani,BOIS,221,1157,5.2,59,10
27,Kimani Vidal,TROY,231,1132,4.9,40,10
28,Calvin Tyler Jr.,USU,253,1122,4.4,31,7
29,De'Von Achane,TA&M,196,1102,5.6,65,8
30,Devin Neal,KU,180,1090,6.1,80,9
31,Sieh Bangura,OHIO,222,1078,4.9,64,13
32,La'Damian Webb,USA,209,1062,5.1,69,13
33,Nicholas Singleton,PSU,156,1061,6.8,87,12
34,Sean Tucker,SYR,206,1060,5.1,60,11
35,Bucky Irving,ORE,156,1058,6.8,66,5
36,Ray Davis,VAN,232,1042,4.5,45,5
37,Titus Swen,WYO,207,1039,5.0,83,8
38,Sean Tyler,WMU,209,1027,4.9,63,7
39,Aidan Robbins,UNLV,209,1011,4.8,66,9
40,Larry McCammon III,FAU,194,1004,5.2,58,7
41,Donovan Edwards,MICH,140,991,7.1,85,7
42,Trey Benson,FSU,154,990,6.4,45,9
43,Roman Hemby,MD,188,989,5.3,75,10
44,Damien Martinez,ORST,161,982,6.1,50,7
45,Richard Reese,BAY,198,972,4.9,52,14
46,Tank Bigsby,AUB,179,970,5.4,50,10
47,Devin Mockobee,PUR,195,968,5.0,68,9
48,Jermaine Brown Jr.,UAB,166,948,5.7,54,8
49,Zach Evans,MISS,144,936,6.5,48,9
50,Jahmyr Gibbs,ALA,151,926,6.1,76,7
51,Blake Watson,ODU,159,921,5.8,67,5
52,Audric Estime,ND,156,920,5.9,46,11
53,Marquis Crosby,LT,183,918,5.0,68,9
54,Anthony Grant,NEB,218,915,4.2,46,6
55,Jalen White,GASO,162,914,5.6,71,10
