RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'XP')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'PTS/G')"
1,Najee Harris,ALA,RB,26,4,0,30,0,0,0,180,16.0
2,DeVonta Smith,ALA,DB,1,23,1,25,0,0,0,150,13.0
3,Breece Hall,ISU,RB,21,2,0,23,0,0,0,138,11.0
4,Javonte Williams,UNC,RB,19,3,0,22,0,0,0,132,13.0
5,Will Reichard,ALA,PK,0,0,0,0,14,84,0,126,9.0
6,B.T. Potter,CLEM,PK,0,0,0,0,18,61,0,115,9.0
7,CJ Marable,CCU,RB,12,7,0,19,0,0,0,114,11.0
7,Jaelon Darden,UNT,WR,0,19,0,19,0,0,0,114,12.0
7,Jaret Patterson,BUFF,RB,19,0,0,19,0,0,0,114,19.0
10,Gabe Brkic,OU,PK,0,0,0,0,20,49,0,109,10.0
11,Evan McPherson,FLA,PK,0,0,0,0,17,52,0,103,9.0
12,Alex Kessman,PITT,PK,0,0,0,0,23,31,0,100,9.0
13,Jake Oldroyd,BYU,PK,0,0,0,0,13,60,0,99,9.0
13,Grayson Atkins,UNC,PK,0,0,0,0,12,63,0,99,8.0
15,Jose Borregales,MIAMI,PK,0,0,0,0,20,37,0,97,8.0
16,Travis Etienne Jr.,CLEM,RB,14,2,0,16,0,0,0,96,9.0
16,Kevin Harris,SC,RB,15,1,0,16,0,0,0,96,12.0
18,Cameron Dicker,TEX,PK,0,0,0,0,15,50,0,95,9.0
19,Brian Johnson,VT,PK,0,0,0,0,20,34,0,94,8.0
19,Chris Naggar,SMU,PK,0,0,0,0,17,43,0,94,9.0
19,Alex Raynor,GASO,PK,0,0,0,0,18,40,0,94,7.0
22,Jonathan Doerer,ND,PK,0,0,0,0,15,48,0,93,7.0
23,Hunter Duplessis,UTSA,PK,0,0,0,0,17,40,0,91,7.0
24,Chandler Staton,APP,PK,0,0,0,0,13,51,0,90,7.0
24,Mohamed Ibrahim,MINN,RB,15,0,0,15,0,0,0,90,18.0
24,Cade York,LSU,PK,0,0,0,0,18,36,0,90,9.0
27,Alex Barbir,LIB,PK,0,0,0,0,13,50,0,89,8.0
28,Connor Assalley,ISU,PK,0,0,0,0,13,48,0,87,7.0
29,Larry Rountree III,MIZ,RB,14,0,0,14,0,0,0,84,10.0
29,Malik Willis,LIB,QB,14,0,0,14,0,0,0,84,8.0
29,Anders Carlson,AUB,PK,0,0,0,0,20,24,0,84,7.0
29,Kyren Williams,ND,RB,13,1,0,14,0,0,0,84,12.0
33,Daniel Obarski,UCF,PK,0,0,0,0,12,46,0,82,8.0
34,Massimo Biscardi,CCU,PK,0,0,0,0,11,48,0,81,6.0
36,Tyler Allgeier,BYU,RB,13,0,0,13,0,0,1,80,8.0
37,Christopher Dunn,NCST,PK,0,0,0,0,12,43,0,79,6.0
37,Harrison Mevis,MIZ,PK,0,0,0,0,17,28,0,79,7.0
37,James Turner,LOU,PK,0,0,0,0,13,40,0,79,7.0
40,Aaron Boumerhi,BC,PK,0,0,0,0,16,30,0,78,7.0
40,Merek Glover,TULN,PK,0,0,0,0,9,51,0,78,6.0
40,Cam Carroll,TULN,RB,12,1,0,13,0,0,0,78,11.0
40,Kenneth Walker III,WAKE,RB,13,0,0,13,0,0,0,78,13.0
44,Jack Podlesny,UGA,PK,0,0,0,0,13,38,0,77,7.0
45,Blake Grupe,ARST,PK,0,0,0,0,11,43,0,76,6.0
46,Jonathan Adams,ARST,WR,0,12,0,12,0,0,1,74,10.0
46,Seth Small,TA&M,PK,0,0,0,0,11,41,0,74,7.0
48,Evan Legassey,TROY,PK,0,0,0,0,13,34,0,73,6.0
48,Nick Sciba,WAKE,PK,0,0,0,0,14,31,0,73,9.0
48,Brandon Talton,NEV,PK,0,0,0,0,15,28,0,73,8.0
51,Jake Verity,ECU,PK,0,0,0,0,14,30,0,72,8.0
51,Trey Ragas,UL,RB,10,2,0,12,0,0,0,72,9.0
51,Desmond Ridder,CIN,QB,12,0,0,12,0,0,0,72,7.0
51,Kadarius Toney,FLA,WR,1,10,1,12,0,0,0,72,8.0
51,Calvin Austin III,MEM,WR,0,11,1,12,0,0,0,72,7.0
51,Noel Ruiz,GAST,PK,0,0,0,0,13,33,0,72,9.0
51,Kyle Pitts Sr.,FLA,TE,0,12,0,12,0,0,0,72,12.0
51,Camerun Peoples,APP,RB,12,0,0,12,0,0,0,72,9.0
51,Ulysses Bentley IV,SMU,RB,11,1,0,12,0,0,0,72,10.0
51,Isaac Rex,BYU,TE,0,12,0,12,0,0,0,72,10.0
51,Griffin Kell,TCU,PK,0,0,0,0,12,36,0,72,7.0
63,Cole Smith,CIN,PK,0,0,0,0,7,48,0,69,6.0
63,Charlie Ham,DUKE,PK,0,0,0,0,13,30,0,69,7.0
63,Jacob Barnes,LT,PK,0,0,0,0,12,33,0,69,6.0
66,Keith Duncan,IOWA,PK,0,0,0,0,14,26,0,68,8.0
67,Blake Lynch,KSU,PK,0,0,0,0,12,30,0,66,7.0
67,Shai Werts,GASO,WR,11,0,0,11,0,0,0,66,8.0
67,Marlon Williams,UCF,WR,0,10,0,10,0,0,3,66,13.0
67,Brayden Narveson,WKU,PK,0,0,0,0,13,27,0,66,5.0
67,Zamir White,UGA,RB,11,0,0,11,0,0,0,66,7.0
67,Leddie Brown,WVU,RB,9,2,0,11,0,0,0,66,11.0
67,Cam'Ron Harris,MIAMI,RB,10,1,0,11,0,0,0,66,8.0
67,Chris Rodriguez Jr.,UK,RB,11,0,0,11,0,0,0,66,11.0
67,Jerrion Ealy,MISS,RB,9,1,1,11,0,0,0,66,8.0
67,Bam Knight,NCST,RB,9,0,2,11,0,0,0,66,8.0
67,Sincere McCormick,UTSA,RB,11,0,0,11,0,0,0,66,11.0
