season,team,institution_key,name,position,height,weight,stars,rating,status,from_school,to_school,profile_url
2021,Air Force,24078,AJ Jefferson,CB,"5'10""",175 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/aj-jefferson-46086928/college-264098/
2021,Air Force,24078,Jadon Pearson,S,"6'3""",200 lbs,3,0.8500,N/A,Air Force,N/A,https://247sports.com/player/jadon-pearson-46056349/college-310882/
2021,Air Force,24078,Malik Scurlock,Edge,"6'3""",280 lbs,3,0.8100,N/A,Air Force,N/A,https://247sports.com/player/malik-scurlock-46056413/college-261434/
2021,Air Force,24078,George Silvanic,DL,"6'5""",285 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/george-silvanic-85364/college-261971/
2021,Air Force,24078,Tim McClendon,LB,"6'0""",205 lbs,2,0.7900,N/A,Air Force,N/A,https://247sports.com/player/tim-mcclendon-46040953/college-259753/
2021,Akron,24065,Nikolas Ognenovic,TE,"6'5""",250 lbs,3,0.8700,Enrolled,Kentucky,Akron,https://247sports.com/player/nikolas-ognenovic-46050399/college-236315/
2021,Akron,24065,Jeslord Boateng,LB,"6'2""",210 lbs,3,0.8700,Enrolled,Michigan State,Akron,https://247sports.com/player/jeslord-boateng-46036356/college-223413/
2021,Akron,24065,Anthony Williams Jr.,RB,"6'0""",191 lbs,3,0.8600,Committed,Michigan State,Akron,https://247sports.com/player/anthony-williams-jr-94387/college-230864/
2021,Akron,24065,John Mitchell,DL,"6'3""",300 lbs,2,0.7900,N/A,Akron,N/A,https://247sports.com/player/john-mitchell-78083/college-266353/
2021,Akron,24065,Eric Bentley,DL,"6'1""",250 lbs,2,0.7400,N/A,Akron,N/A,https://247sports.com/player/eric-bentley-90703/college-265953/
2021,Akron,24065,Brayden Hawkins,QB,"6'3""",221 lbs,2,0.7700,N/A,Akron,N/A,https://247sports.com/player/brayden-hawkins-85811/college-264607/
2021,Akron,24065,Isiah Childs,RB,"6'3""",205 lbs,3,0.8300,N/A,Akron,N/A,https://247sports.com/player/isiah-childs-46085263/college-256561/
2021,Akron,24065,Demetrick Watts,LB,"6'3""",230 lbs,2,0.7900,N/A,Akron,N/A,https://247sports.com/player/demetrick-watts-46081079/college-260699/
2021,Akron,24065,Jordyn Riley,CB,"5'10""",172 lbs,2,0.7500,Committed,Akron,Louisiana-Monroe,https://247sports.com/player/jordyn-riley-88161/college-260696/
