School,Name,Position,Year/Class,Status,Date Entered Portal,From Team,To Team,Rating,High School,Profile URL
Air Force,Jack Parker,IOL,FR,Entered,5/20/2021,Avatar,Air Force,,Creekview,https://www.on3.com/rivals/jack-parker-51261/
Air Force,Cameron Everts,WR,FR,Entered,4/14/2021,Avatar,Air Force,79.05,Lampasas,https://www.on3.com/rivals/cameron-everts-17783/
Air Force,AJ Jefferson,CB,FR,Entered,4/07/2021,Avatar,Air Force,,Indian Land,https://www.on3.com/rivals/aj-jefferson-144909/
Alabama,Brandon Turnage,S,RS-FR,Entered,7/01/2021,Alabama,,93.49,Lafayette,https://www.on3.com/rivals/brandon-turnage-13231/
Alabama,Brandon Turnage,S,RS-FR,Committed,,Alabama,Tennessee Volunteers,93.49,Lafayette,https://www.on3.com/rivals/brandon-turnage-13231/
Alabama,Keilan Robinson,RB,SO,Committed,,Alabama,Texas Longhorns,90.40,St. John's College,https://www.on3.com/rivals/keilan-robinson-71944/
Alabama,Keilan Robinson,RB,SO,Entered,6/01/2021,Alabama,,90.40,St. John's College,https://www.on3.com/rivals/keilan-robinson-71944/
Alabama,Jack Martin,P,RS-FR,Entered,5/17/2021,Troy,,77.48,Northview,https://www.on3.com/rivals/jack-martin-51205/
Alabama,Jack Martin,P,RS-FR,Committed,,Troy,Alabama Crimson Tide,77.48,Northview,https://www.on3.com/rivals/jack-martin-51205/
Alabama,Ronald Williams,CB,JR,Entered,5/11/2021,Alabama,,89.03,Ferriday,https://www.on3.com/rivals/ronald-williams-102228/
Alabama,Ronald Williams,CB,JR,Committed,,Alabama,Michigan State Spartans,89.03,Ferriday,https://www.on3.com/rivals/ronald-williams-102228/
Alabama,Henry To'oTo'o,LB,SO,Committed,,Tennessee,Alabama Crimson Tide,95.11,De La Salle,https://www.on3.com/rivals/henry-tootoo-48042/
Alabama,Jameson Williams,WR,SO,Committed,,Ohio State,Alabama Crimson Tide,94.45,Cardinal Ritter College Prep,https://www.on3.com/rivals/jameson-williams-56104/
Alabama,Ben Davis,LB,RS-SR,Committed,,Alabama,Texas Longhorns,97.95,Gordo,https://www.on3.com/rivals/ben-davis-9690/
Alabama,Jameson Williams,WR,SO,Entered,4/28/2021,Ohio State,,94.45,Cardinal Ritter College Prep,https://www.on3.com/rivals/jameson-williams-56104/
Alabama,Ale Kaho,LB,RS-SO,Committed,,Alabama,UCLA Bruins,93.24,Reno,https://www.on3.com/rivals/ale-kaho-142524/
Alabama,Ale Kaho,LB,RS-SO,Entered,2/19/2021,Alabama,,93.24,Reno,https://www.on3.com/rivals/ale-kaho-142524/
Alabama,Ben Davis,LB,RS-SR,Entered,2/16/2021,Alabama,,97.95,Gordo,https://www.on3.com/rivals/ben-davis-9690/
Alabama,Joseph Bulovas,K,SR,Entered,2/15/2021,Alabama,,81.80,Mandeville,https://www.on3.com/rivals/joseph-bulovas-66484/
Alabama,Eddie Smith,S,SO,Committed,,Alabama,Illinois Fighting Illini,88.73,Salmen,https://www.on3.com/rivals/eddie-smith-40549/
Alabama,Henry To'oTo'o,LB,SO,Entered,1/20/2021,Tennessee,,95.11,De La Salle,https://www.on3.com/rivals/henry-tootoo-48042/
Alabama,Eddie Smith,S,SO,Entered,1/14/2021,Alabama,,88.73,Salmen,https://www.on3.com/rivals/eddie-smith-40549/
Alabama,Ishmael Sopsher,DL,RS-FR,Committed,,Alabama,USC Trojans,95.00,Amite,https://www.on3.com/rivals/ishmael-sopsher-49930/
Alabama,Kevin Harris,EDGE,RS-FR,Committed,,Alabama,Georgia Tech Yellow Jackets,93.11,Grayson,https://www.on3.com/rivals/kevin-harris-74147/
Alabama,Kevin Harris,EDGE,RS-FR,Entered,12/04/2020,Alabama,,93.11,Grayson,https://www.on3.com/rivals/kevin-harris-74147/
Alabama,Ishmael Sopsher,DL,RS-FR,Entered,10/22/2020,Alabama,,95.00,Amite,https://www.on3.com/rivals/ishmael-sopsher-49930/
Akron,Nik Ognenovic,TE,RS-FR,Committed,,Kentucky,Akron Zips,86.23,Cardinal Gibbons,https://www.on3.com/rivals/nik-ognenovic-93429/
Akron,Isiah Childs,RB,FR,Committed,,Avatar,Akron,81.42,Wamego,https://www.on3.com/rivals/isiah-childs-49959/
Akron,Anthony Williams Jr.,RB,RS-FR,Committed,,Michigan State,Akron Zips,85.90,Bolingbrook,https://www.on3.com/rivals/anthony-williams-jr-6709/
Akron,Nik Ognenovic,TE,RS-FR,Entered,1/20/2021,Kentucky,,86.23,Cardinal Gibbons,https://www.on3.com/rivals/nik-ognenovic-93429/
Akron,Isiah Childs,RB,FR,Entered,1/19/2021,Avatar,Akron,81.42,Wamego,https://www.on3.com/rivals/isiah-childs-49959/
Akron,Jeslord Boateng,LB,RS-SO,Committed,,Michigan State,Akron Zips,85.33,Dublin Coffman,https://www.on3.com/rivals/jeslord-boateng-61185/
Akron,Jeslord Boateng,LB,RS-SO,Entered,12/18/2020,Michigan State,,85.33,Dublin Coffman,https://www.on3.com/rivals/jeslord-boateng-61185/
Akron,Zack Leininger,TE,SR,Committed,,Avatar,Akron,80.02,,https://www.on3.com/rivals/zack-leininger-123359/
Akron,Zack Leininger,TE,SR,Entered,12/14/2020,Avatar,Akron,80.02,,https://www.on3.com/rivals/zack-leininger-123359/
Akron,Anthony Williams Jr.,RB,RS-FR,Entered,11/18/2020,Michigan State,,85.90,Bolingbrook,https://www.on3.com/rivals/anthony-williams-jr-6709/
Arizona,Drake Anderson,RB,RS-SO,Entered,4/23/2023,Northwestern,Arizona,82.12,Chandler,https://www.on3.com/rivals/drake-anderson-38772/
Arizona,Rhett Rodriguez,QB,SR,Committed,,Avatar,Arizona,81.53,Catalina Foothills,https://www.on3.com/rivals/rhett-rodriguez-99785/
Arizona,Gunner Maldonado,S,FR,Committed,,Northwestern,Arizona Wildcats,86.27,Chandler,https://www.on3.com/rivals/gunner-maldonado-47239/
Arizona,Leevel Tatum,DL,RS-SR,Committed,,Fresno State,Arizona Wildcats,80.50,Edison,https://www.on3.com/rivals/leevel-tatum-78856/
Arizona,Alex Lines,TE,FR,Committed,,UNLV,Arizona Wildcats,87.14,Higley,https://www.on3.com/rivals/alex-lines-3162/
Arizona,Khary Crump,CB,FR,Entered,3/01/2021,Arizona,,84.73,Culver City,https://www.on3.com/rivals/khary-crump-74996/
Arizona,Khary Crump,CB,FR,Committed,,Arizona,Michigan State Spartans,84.73,Culver City,https://www.on3.com/rivals/khary-crump-74996/
Arizona,Nick Moore,QB,JR,Committed,,Oregon State,Arizona Wildcats,,William S. Hart Senior,https://www.on3.com/rivals/nick-moore-92775/
Arizona,Alex Lines,TE,FR,Entered,1/29/2021,UNLV,,87.14,Higley,https://www.on3.com/rivals/alex-lines-3162/
Arizona,Robert Congel,IOL,SR,Entered,1/29/2021,Arizona,,,IMG Academy,https://www.on3.com/rivals/robert-congel-100983/
Arizona,Robert Congel,IOL,SR,Committed,,Arizona,Oklahoma Sooners,,IMG Academy,https://www.on3.com/rivals/robert-congel-100983/
Arizona,Leevel Tatum,DL,RS-SR,Entered,1/12/2021,Fresno State,,80.50,Edison,https://www.on3.com/rivals/leevel-tatum-78856/
Arizona,Jamari Williams,IOL,RS-FR,Committed,,Arizona,Middle Tennessee State Blue Raiders,83.43,Cardinal Gibbons,https://www.on3.com/rivals/jamari-williams-55148/
